nom,description,logo,Date dernier financement,Série,Montant,LinkedIn,Contact,Date de création_x,Marché,Type d'organisme,SIREN,Activité principale,Tranche effectifs,market,employees,date de création,valeur_entreprise,financement,dernier_financement,mots_cles_def,site_web_def,adresse_def
INVIRTUS TECHNOLOGIES,"The service provided by InVirtus is made of 2 main parts: 1- the electronic tags for seamless Indoor and outdoor geolocation. 2- The software platform to visualize your assets and get KPIs on your assets' usage. InVirtus differentiators: 1- an extensive range of batteryless photovoltaic sensor tags. 2- a user-friendly software platform, leveraging AI, designed to visualize your assets and provide key performance indicators (KPIs) on your assets' usage.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/d76c4963-f692-4593-aafc-249a619ce9951,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.invirtus.io/en/'],NANTES
TECHNOCARBON,"Founded in 2018, TechnoCarbon is a startup specializing in the design, development, manufacture and sale of innovative components and systems made from Pierre-Carbone, the first sustainable ultra-low carbon composite material. The company has patented technologies that enable deep decarbonization, extended service life, reduced weight, and a smaller environmental footprint in the materials industry. Awarded the "" Process, Manufacturing & Equipment Startup Booster"" prize by the advanced materials industry world leaders at JEC World 2024, TechnoCarbon is contributing to the sustainable and profound transformation of industry, engineering, and construction.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/d18755d5-4a24-4b78-92cf-1a43d52eadb241,,,,,,,,,913464707,66.30Z,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.technocarbon.tech'],PARIS
TOPORDER,"A comprehensive business management platform equipped with data collection technology and predictive AI, Toporder is the most innovative and fastest POS system for merchants",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000gRHNyIAO.png,,,,https://x.com/toporder,,,,,849345814,62.01Z,11,,,,,,,,['https://toporder.fr/'],"1 Chemin Jean Marie Vianney LYON, - 69130 France"
TOPORDER,"Toporder, founded in 2019, leads in point-of-sale technology, offering advanced, AI-enhanced systems designed to streamline sales transactions and improve inventory management. Our intuitive POS solutions fit seamlessly into any retail setting, supporting businesses from small shops to large-scale enterprises. With Toporder, retailers can leverage predictive analytics to forecast sales trends and manage stock more effectively, optimizing operational efficiency and reducing waste. Dedicated to innovation and client satisfaction, Toporder equips businesses with smart, user-friendly technology to transform their retail operations and increase profitability. Join the many who trust Toporder’s cutting-edge capabilities.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/e3c8e5fb-7280-43fa-bb40-0c1a4909d8e11,,,,,,,,,849345814,62.01Z,11,,,,,,,,['https://toporder.fr/'],ECULLY
CONNECTED CYCLE,"Connected Cycle provides connectivity, location tracking, telematics & bike intelligence data to micro-mobility fleets operators as well as bike brands with an end-to-end platform. Our product suite seamlessly integrates hardware, embedded software, APIs, web portal and mobile apps to enhance productivity and elevate the experience of bike brands, fleet managers and riders. Serving bike sharing, bike rental, cycle logistics and bike manufacturers across Europe and North America, Connected Cycle has been pioneering innovation in the micromobility market since 2013.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/80d2009b-ef88-4ba0-a24c-6c62eb10e7211,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.connectedcycle.com'],PARIS
FLYING WHALES,"FLYING WHALES is a French aeronautic start-up established in 2012 to develop and industrialize a 60 tons Large Capacity Airship, the LCA60T technology, with the aim to decarbonise the freight and aeronautic sectors, thus also ensuring an economic development for landlocked territories. Currently, FLYING WHALES as a group employs today more than 180 employees but plans, by 2030, to create 3,000 additional jobs to design, manufacture and operate the LCA60T solution. These opportunities will cover all levels of qualification and will be present internationally thanks to a deployment on five continents, starting with Europe, North America, and Asia. FLYING WHALES is divided into two entities: • FLYING WHALES Industry which is responsible for the development, certification, manufacturing, and the maintenance of the LCA60T solution. • FLYING WHALES Services' purpose is to sell and perform the LCA60T Solution, both as an ""Airline"" and as ""Airport"" operator.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/135946ec-1f13-4a44-9d44-539b1f81b2661,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.flying-whales.com/'],SURESNES
SCINTIL PHOTONICS,"SCINTIL Photonics is a fabless company that develops and markets silicon photonics with integrated lasers and optical amplifiers, for high speed optical interconnects in Data Centers, HPC and 5/6G infrastructure. Its solution combines the best of silicon (Si) and indium phosphide (InP) photonics with die-to-wafer bonding of III-V on Si, and capitalize on commercial semiconductor foundry to mass-produce its augmented silicon Photonic Integrated Circuits (PIC). SCINTIL’s technology draws upon over 15 years of research in lasers, silicon photonics, and 3D packaging carried out at CEA-Leti, a world-leading semiconductor research institute. Its unique technological solution enables an extensive integration of active and passive optical components, while improving performances and reliability, it significantly reduces implementation costs.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/87082da4-421a-41f6-8827-9996a084f3e81,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.scintil-photonics.com/'],GRENOBLE
PRIMAA,"Primaa offers an AI-based platform for automated and accurate cancer diagnosis. The technology, based on image analysis and deep learning, allows to improve the detection of biomarkers of major cancers and guide personalized treatment. Primaa developed two products, Cleo Breast, for breast cancer diagnosis and Cleo Skin, for skin cancer diagnosis. Primaa is a medtech company built in 2018 by MD Marie Sockeel and based in central Paris. The company counts 20 employees.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/f4f89e0d-a876-430b-bcfc-5071421ff71a1,,,,,,,,,842567422,72.11Z,12,,,,,,,,['https://primaalab.com/'],PARIS
YNSECT,"Ÿnsect is one of the world leader in the production of natural insect proteins and fertilizers. Founded in 2011 in Paris, France, by scientists and environmental activists, the Next40 member and B Corp-labeled company transforms insects into high-end, high-value ingredients to feed animals, plants and humans. From its state-of-the-art, purpose-built farms, Ÿnsect offers an ecological, healthy and sustainable solution. Ÿnsect harnesses disruptive technologies protected by over 440 patents to grow mealworms in climate- and biodiversity-positive vertical farms, creating value chains aligned with the Paris COP21 +1.5°C scenario and the EU's ""Fit for 55"" objective. Ÿnsect already operates several production sites including the world's largest vertical farm, in Amiens (France). The company exports its products worldwide.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9e39d100-c7f0-48c4-8a27-7b144397febc1,,,,,,,,,534948617,10.89Z,32,,,,,,,,['https://www.ynsect.com/'],EVRY-COURCOURONNES
PRELIGENS,"Preligens was founded in 2016 by two French engineers, Arnaud Guérin and Renaud Allioux, on the belief that without the contribution of artificial intelligence, intelligence professionals would no longer be able to cope with the exponential flow of defense and intelligence data, especially those made available by the significant investments made each year in sensors. Preligens is now a global leader in artificial intelligence for geospatial data in aerospace, defense, and government applications. Based in Paris, Rennes, and Washington D.C. (USA), Preligens counts over 250 employees, forming the largest AI team on high-end vision and acoustics in the Western world. The performance and precision of Preligens' solutions are internationally recognized and field-proven, enabling users to apprehend and understand complex operational situations at the speed of need. For more information, visit the website https://www.preligens.com/en/",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/65a8f983-fd06-4e5d-bf14-4fefbb4c45d71,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.preligens.com/fr'],PARIS
WEMAINTAIN,"WeMaintain is a scale-up with 250 employees in Europe and Asia. Our mission is to put the best of people and technology at the heart of the built environment. We've platformized building operations with an end-to-end approach that combines field expertise, data, software, and IoT. We ensure lifts, escalators, fire & safety, and doors perform as they should and consume less energy with our real-time monitoring and predictive maintenance. We are B Corp certified.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/06db0c22-c192-42c8-ada0-fdbea6f2a6541,,,,,,,,,830852844,43.29B,22,,,,,,,,['https://vivatechnology.com/partners/www.wemaintain.com'],PARIS
UNSEENLABS,"Since 2019, Unseenlabs operates a cutting-edge satellite constellation specifically designed for maritime surveillance. This constellation has dramatically improved the detection, tracking, and characterization of maritime activities, leveraging a fleet of thirteen monosatellites, with four additional units slated for launch in 2024. These satellites have been pivotal in providing critical intelligence to combat illegal fishing, piracy, and other maritime threats, effectively covering vast areas at sea.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/08eea6df-ca22-4d8b-817c-96556e8638f91,,,,,,,,,811856376,72.19Z,12,,,,,,,,['https://vivatechnology.com/partners/www.unseenlabs.space'],CESSON-SEVIGNÉ
SEQONE,"In disease diagnostics, every second counts. Advanced genomics can significantly accelerate the process, offering healthcare professionals precise, personalized results at scale. SeqOne is a fast-growing deep-tech company founded in 2017 in Montpellier, France. Our goal is to make advanced genomic analyses accessible to all. We offer genomic healthcare professionals AI-powered decision support solutions to deliver accurate results to every patient, faster. Specialized in oncology, rare and inherited diseases, our platform provides genomic labs and healthcare professionnels with best-in-class accuracy, usability and automation that can be used seamlessly across lab technologies. By streamlining complex workflows, we pave the way for a new era of personalized healthcare at scale. We imagine a future where genetic testing can become as routine as traditional blood work, radically enhancing health outcomes for all.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/c1f9a8b6-3eaa-4280-b7a6-dfa4ffd86ca61,,,,,,,,,829581586,72.11Z,21,,,,,,,,['https://www.seqone.com/'],MONTPELLIER
SONIO,"Sonio is a highly customizable workflow and practice management solution powered by AI for automation, efficiency and quality control. ""Sonio AI-enhanced¹ software empowers ultrasound practitioners and readers. Sonio assists them in performing every prenatal examination to their highest quality standards, ensuring the completeness of each examination, streamlining their workflow, and in prenatal diagnosis. Sonio is based on over five years of research and collaboration between leading experts in fetal medicine and AI. ¹AI-enhancement is provided by FDA 510(k) cleared Sonio Detect product and through Sonio Expert"" To learn more about Sonio, visit our website https://sonio.ai/us/",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/03fe7adc-ea68-4e88-be9f-3a6d64c10b2f1,,,,,,,,,883053571,62.01Z,11,,,,,,,,['https://sonio.ai/'],PARIS
CROSSCALL,"CROSSCALL, a durable mobile telephony creator, offers tough, waterproof mobiles and smartphones with long battery lives. Cyril Vidal founded the company in 2009 to fill a gap in the market for specific uses and requirements, having seen this lack first-hand, and for which there was no specific equipment. The brand thus designs models that are perfectly suited to the hostile and unpredictable environments encountered by athletes and field professionals (water, rain, wind, humidity, dust, impacts, etc.), as well as a range of high-performance accessories. With over 4.5 million units sold, turnover of €115 million and already more than 20,000 points of sale, the French company, based in Aix-en-Provence, is continuing its development by moving upmarket with its mobiles, which are being increasingly recognised both in France and overseas for their quality and originality.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/3d4a1df3-7e26-4df0-b167-1041368f78ed1,,,,,,,,,939778148,46.52Z,Non disponible,,,,,,,,['https://www.crosscall.com/'],AIX EN PROVENCE
NOMAD EDUCATION,"Nomad Education is an impact-driven tech company that helps students all over the world succeed in their studies no matter their social or academic level. Our mobile educational app, including both pedagogy and technology (machine learning & IA), gathers 400+ degrees from primary school to higher education. By offering a mobile, free and offline solution, we guarantee full educational continuity across the globe. Our impact is massive : this year, Nomad Education helped more than 2 million young people reengage in their studies in France and Africa.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/36160572-1781-463d-8926-5081b300ee211,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://nomadeducation.fr/'],PARIS
AGORIZE,"Innovation management platform fueled by 10M startups and innovators. We are proud to operate Viva Tech startup scouting programs this year again. We deliver the leading corporate innovation management software connected to 10 million startups and innovators. Our dedicated team of experts helps corporates launch innovation programs to reveal ideas and turn them into results, fast. With Agorize, launch your next Open innovation programs, startup competitions, student challenges, employee recognition, and awards programs.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/eccb9fd1-1e62-47b7-9c96-ea87bde474531,,,,,,,,,530774439,63.12Z,12,,,,,,,,['https://get.agorize.com/'],None
MALT,"Malt is a digital marketplace that connects businesses with freelancers, finding the perfect match for every project. With access to more than 700,000 freelancers and independent consultants, Malt manages the administrative, legal, and payment processes securely, in one place within its platform. Founded in France in 2013, Malt combines personal service and innovative technology to rapidly find the right people for the right projects in just a few clicks. With the acquisition of COMATCH in 2022, Malt is Europe’s leading marketplace not just for tech, digital, and creative talent, but also for independent management consultants, interim managers, and experts too. Malt works with over 70,000 companies of all sizes and industries - from start-ups to consultancies and corporations - and is active in eleven regions (including France, Germany, Spain, the Middle East, and the UK.) Malt raised its Series D funding in July 2022 and has backing from Goldman Sachs Growth Equity, Eurazeo, Serena, and Isai.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/212fa7f0-160f-4c85-8414-821505afab791,,,,,,,,,884541202,95.11Z,Non disponible,,,,,,,,['https://www.malt.fr/'],None
TOUCAN TOCO,"Toucan is a customer-facing analytics platform that empowers companies to drive engagement with data storytelling. With the best customizable end-user experience across any device, over 4 million Toucan stories are viewed each year. Toucan's no-code, cloud-based platform cuts development costs and time to value with a fast, seamless implementation. Toucan is trusted by more than 150+ clients worldwide, from global corporations to fast-growth tech companies.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9a9a3007-04fc-49b2-ac0b-da634d9e10471,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.toucantoco.com'],PARIS
HXPERIENCE,"Hxperience designs and operates digital services for buildings (Smart Building). Hxperience has developed a SaaS platform called SMATI that collects, processes and analyses data from buildings, their equipment and their uses in real time. The aim? To improve energy performance, analyse and understand usage and offer new services to building managers, operators and occupants.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1e305f5f-be37-4c7b-896c-0390c4fec4291,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://hxperience.com/en/'],PARIS
AMIRAL TECHNOLOGIES,"Amiral Technologies is a spin-off of French CNRS. Its innovation is the result of 10 years of academic research in automatics, control theory, and artificial Intelligence. Its technology is revolutionizing the processing of data generated by sensors for critical, complex, and high-value industrial sectors. At the heart of its innovation are its algorithms for automatically generating features for industrial time series, regardless of their nature. This innovation enables DiagFit, the software of Amiral Technologies, to produce high-performance predictive models capable of learning without historical failure data. DiagFit meets the needs of our industrial clients, both in their operational contexts and their specific equipment.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/dc4796fe-4822-4b1f-8d6e-bd55dedc791a1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.amiraltechnologies.com/'],GRENOBLE
UNITED HEROES,"United Heroes is the employee engagement app for impact-driven companies committed in equal measure to their staff wellbeing and to fostering cohesion and belonging. Today, +350 organizations from all sectors (PwC, Orange, Toyota, Danone, etc.) use United Heroes and we are a trusted partner of the French Ministère des Sports et des Jeux Olympiques et Paralympiques for the #GrandeCauseNationale. There are more than 500 000 United Heroes users in 150 countries and 83% of them tell us they feel better after 6 months of using the app. Our team is composed of 80 passionate experts, spread between Paris, Madrid, and Sydney.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8d6d596d-b164-4044-ad85-b4c459d69a1b1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.united-heroes.com/fr'],PARIS
ENERTIME,"Enertime is specialized in the development of innovative solutions for converting heat into electricity using Organic Rankine Cycle (ORC) technology. Our solutions are engineered to optimize energy recovery from heat sources such as industrial waste heat, geothermal energy, and biomass. Furthermore, our advanced high-temperature Heat Pump technology is adept at harnessing low-grade waste heat (beginning at 30°C) for applications such as steam production or other processes requiring high temperatures. Enertime oversees the entire spectrum of solution delivery, offering comprehensive, turnkey solutions. We also provide financing options for these solutions through our subsidiary, Energie Circulaire. Our commitment is to create solutions that not only support the energy transition but also contribute to the decarbonization of industrial processes.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/90d81475-2657-48e3-9b9f-26c100bdae711,,,,,,,,,502718760,28.11Z,12,,,,,,,,['https://www.enertime.com/en'],COURBEVOIE
STUDIO NYX,"Studio Nyx specializes in high-quality 3D and interactive simulations. We create, develop and commercialize immersive training services for the agricultural and viticultural sectors. We are at the origin of the Programme VINUM. We are demoing our solutions on two different booth at Vivatech : Région Nouvelle-Aquitaine and LVMH. We are going to market and looking for capital and/or bridge financing investments.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6aad434a-9e00-4521-8449-2501762ad2931,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.studio-nyx.com'],GOND-PONTOUVRE
OROSOUND,"Orosound is a French technology company, and the only national manufacturer of professional audio headsets. The brand is celebrated for its cutting-edge advancements in embedded audio technology and its commitment to more sustainable product design. Orosound Labs, its advanced innovation division is world-renowned for its expertise in AI-enabled active noise control technologies. The groundbreaking innovations developed by Orosound Labs are embedded into consumer brands products, as well as into its own line of headsets Orosound Tilde®, which are trusted by thousands of businesses worldwide.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4a4ba3d0-b238-4360-a764-8dbcf93341b11,,,,,,,,,811315829,26.40Z,11,,,,,,,,['https://www.orosound.com/'],PARIS
SPARKUP,"Sparkup is a comprehensive virtual, hybrid and in-person event platform to create premium and engaging attendee experiences that leave a lasting impression. From webinars to conventions, kick-offs to seminars and everything in between, Sparkup offers all the tools you need to design virtual, hybrid, and in-person events that truly stand out.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2db7eeb4-fc68-4f2d-82fd-7f9142cefdb21,,,,,,,,,793555160,82.99Z,Non disponible,,,,,,,,['https://sparkup.app/'],PARIS
SPENDESK,"Spendesk is the complete spend management platform that saves businesses time and money by connecting company spend. With the integration of everyday technologies, built-in automation, and an easily adopted approval process, Spendesk’s single solution makes agile, efficient spending easy for employees and gives finance leaders complete visibility across entire company spend. Trusted by thousands of businesses from start-ups to established brands, and with offices in Paris, London, Berlin and Madrid, Spendesk puts community at the heart of spend management. Spendesk-backed CFO Connect is the fastest-growing global community of finance leaders with more than 10,000 members.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/dd9579d2-32fe-4fc6-b639-867353cc59d71,,,,,,,,,821893286,62.02A,32,,,,,,,,['https://www.spendesk.com/en/'],PARIS
MOONCARD,"Mooncard, the reinvented expense management solution, covers everything from payment to accounting. It offers a platform, cards, and a mobile app to optimize operational team efficiency while giving control to finance teams. Mooncard provides: - A platform for automatic expense management and accounting: Customize and set rules, instant visibility by person or team, and simplified accounting integration. - Physical or virtual payment cards for all needs: Customized settings according to expense policies and real-time budget tracking. - Automated expense reports: Automated receipt retrieval system, personalized approval workflows, one-click reimbursement for employees, and 100% VAT recovery.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/00d86843-57a3-4c6b-8c79-020b8898010a1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://vivatechnology.com/partners/www.mooncard.com'],PARIS
CRYPTONEXT SECURITY,"CryptoNext Security, based in Paris, founded in 2019 after more than 20 years of academic research. CryptoNext Security is a software vendor specializing in quantum computer-resistant cryptography (PQC: post-quantum cryptography). CryptoNext offers its leading C-QSR Quantum Safe Remediation software suite including its world reference library Quantum Safe Library (C-QSL) with the latest updates of US NIST standard and EU recommended PQC algorithms optimized implementation and extended security modules as well as a full set of upper-layer crypto-agile, full PQC hybridization-ready integration tools, application plugins, and management modules, for end-user enterprises and integrators, to help them in their migration and operations in the era of post-quantum cybersecurity.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2bead044-53e7-4bf4-a905-a6cc48dbde881,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://www.cryptonext-security.com/'],PARIS
