nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif,Adresse
MY SAM,820997070,2016-06-15,MY SAM,Non disponible,49.32Z,02,PME,A,"1 ALLEE RENE LAENNEC, 54600 VILLERS-LES-NANCY"
MY SPORT MARKET,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
MY TRAFFIC,814849113,2015-11-17,MY TRAFFIC,Non disponible,58.29C,21,PME,A,"12 RUE VIVIENNE, 75002 PARIS"
MY UNISOFT,840143275,2018-06-01,MY UNISOFT,Non disponible,58.29C,22,PME,A,"3 RUE GAI SEJOUR, 91700 SAINTE-GENEVIEVE-DES-BOIS"
MY WEEKEND FOR YOU,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
MYAGO 3D,889089975,2020-09-18,MYAGO 3D,Non disponible,22.29A,NN,PME,A,"5 RUE ROLAND GARROS, 41000 BLOIS"
MYBROCANTE,821634763,2016-07-13,SPOTTT,Non disponible,62.01Z,12,PME,A,"28 MONTEE DES CARMELITES, 69001 LYON"
MYBUS,397855792,1994-07-26,MY BUS,Non disponible,79.12Z,Non disponible,Non disponible,C,"18 RUE DES PYRAMIDES, 75001 PARIS 1"
MYCRONIC SAINT-EGRÈVE,451028567,2003-12-01,VIT,VI TECHNOLOGY,72.19Z,12,PME,A,"PARC D’ACTIVITE DE L’ARGILE, 06370 MOUANS-SARTOUX"
MYEASYFARM,833246085,2017-11-07,MY EASY FARM,Non disponible,58.29C,11,PME,A,"17  RPT DE L'EUROPE, 51430 BEZANNES"
MYELEFANT,524353299,2010-09-01,SINCH FRANCE,MYELEFANT SAS,58.29C,21,ETI,A,"PLACE DES GRANDS HOMMES, 33000 BORDEAUX"
MYELINE SERVICES,832825715,2017-10-01,MYELINE SERVICES,Non disponible,70.22Z,Non disponible,PME,A,"41 BOULEVARD SAINT-JACQUES, 75014 PARIS"
MYFIT SOLUTIONS,837707769,2018-02-05,MYNED CORPORATION,Non disponible,58.29C,11,PME,A,"5 RUE DE LA SOLIDARITE, 69230 SAINT-GENIS-LAVAL"
MYGLADYS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
MYJUGAAD,839991619,2018-05-02,SOLID'R,Non disponible,63.12Z,11,PME,A,"13 RUE YVES DE KERGUELEN, 56400 AURAY"
MYLIGHT SYSTEMS,800773483,2014-02-27,MYLIGHT SYSTEMS,Non disponible,46.52Z,12,ETI,A,"1609 AVENUE HENRI SCHNEIDER, 69330 JONAGE"
MYLOISIRS.COM - ARMANCE SAS,534390893,2011-09-03,ARMANCE,Non disponible,63.12Z,Non disponible,PME,C,"71 RUE BLANCHE, 75009 PARIS"
MYMERRYS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
MYMINUTETRIP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
MYPOCKET,752114645,2012-05-31,MYPOCKETLIBRARY,Non disponible,63.11Z,Non disponible,Non disponible,C,"249 QUAI DE LA BATAILLE DE STALINGRAD, 92130 ISSY-LES-MOULINEAUX"
MYPOSEO,521362822,2010-03-08,G4INTERACTIVE,Non disponible,62.01Z,Non disponible,Non disponible,C,"104 AV DE LA RESISTANCE, 93100 MONTREUIL"
MYR.AI,878893189,2019-11-08,8 ORBIT,Non disponible,62.01Z,11,PME,A,"288 RUE DE VAUGIRARD, 75015 PARIS"
MYSENDINGBOX,829125988,2017-04-18,LIFEBOT,Non disponible,58.29C,02,PME,A,"33 AVENUE DE LATTRE DE TASSIGNY, 94120 FONTENAY-SOUS-BOIS"
MYSKILLCAMP,832505861,2017-10-01,MY SKILL CAMP SA,Non disponible,62.01Z,Non disponible,PME,A,"10 RUE DES CHAPELIERS,"
MYSOFIE,831001334,2017-07-17,AMAZON WEB SERVICES EMEA SARL,Non disponible,62.03Z,41,GE,A,"38 AV JOHN F KENNEDY L 1855,"
MYTELEWORKER,340422799,1987-02-02,HITSUCHY,Non disponible,43.99C,Non disponible,Non disponible,C,"15 AV VICTOR HUGO, 81300 GRAULHET"
MYTRAFFIC,814849113,2015-11-17,MY TRAFFIC,Non disponible,58.29C,21,PME,A,"12 RUE VIVIENNE, 75002 PARIS"
MYZEE TECHNOLOGY,810663849,2015-04-01,MYZEE TECHNOLOGY,Non disponible,58.29C,03,PME,A,"16 ROUTE DES MILLADES, 19270 USSAC"
MÉDIA PARTICIPATIONS,391214905,1993-05-13,MEDIA-PARTICIPATIONS PARIS,Non disponible,70.10Z,11,ETI,A,"14 RUE DE SAVOIE, 75006 PARIS"
MÉDIACITÉS,823005319,2016-10-04,MEDIACITES,Non disponible,58.14Z,12,PME,A,"18 RUE DE LA COUR DES NOUES, 75020 PARIS"
MÉGO!,828153718,2017-03-01,MEGO,Non disponible,38.32Z,03,PME,A,"BREIGNOU COZ, 29860 BOURG-BLANC"
MÉTHANOR,539411090,2012-01-15,METHANOR,Non disponible,64.30Z,Non disponible,PME,A,"12 RUE SAINTE-ANNE, 75001 PARIS"
MÉTROPOLE DE LYON,200046977,2015-01-01,METROPOLE DE LYON,Non disponible,84.11Z,52,GE,A,"20 RUE DU LAC, 69003 LYON"
MÊME PAS CAP,843929951,2018-11-06,MEME PAS CAP!,Non disponible,85.59A,11,PME,A,"60 RUE DE LA VALLEE, 80000 AMIENS"
MÖKKI,848379376,2019-02-14,MOKKI,Non disponible,38.11Z,11,PME,A,"1 RUE DES MINIMES, 75003 PARIS"
NAALI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NABL,911338465,2022-03-14,Non disponible,Non disponible,53.20Z,Non disponible,PME,C,"BOULEVARD DE CLAVEL, 13600 LA CIOTAT"
NABOOK,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NADUVI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NAIO TECHNOLOGIES,538138033,2011-11-21,NAIO-TECHNOLOGIES,Non disponible,71.12B,21,PME,A,"3 AVENUE DIDIER DAURAT, 31400 TOULOUSE"
NAJAR ( EX - WELII ),Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NAMAKI COSMETICS,794719286,2013-07-23,NAMAKI COSMETICS,Non disponible,46.45Z,03,PME,A,"52 ALL DE LA MYRTE, 26500 BOURG LES VALENCE"
NANNYBAG,817899305,2016-01-18,NANNY BAG,Non disponible,63.12Z,03,PME,A,"66 AVENUE DES CHAMPS ELYSEES, 75008 PARIS"
NANO CORP,852597905,2019-06-21,NANO CORP,Non disponible,62.02A,11,PME,A,"22 RUE DES PETITS HOTELS, 75010 PARIS"
NANOMADE LAB,878882067,2019-11-07,NANOMADE LAB,Non disponible,71.12B,03,PME,A,"3 RUE DES SATELLITES, 31400 TOULOUSE"
NAOX TECHNOLOGIES,841307069,2018-07-01,NAOX TECHNOLOGIES,Non disponible,72.19Z,11,PME,A,"73 RUE LEON BOURGEOIS, 91120 PALAISEAU"
NAP&UP,824004485,2016-12-10,NAP&UP,Non disponible,96.04Z,03,PME,A,"45 RUE DES PAVILLONS, 92800 PUTEAUX"
NAPOLEON CRYPTO,833353212,2017-11-10,NAPOLEON CRYPTO,Non disponible,66.30Z,00,PME,C,"59 RUE MONTMARTRE, 75002 PARIS 2"
NAT EXPLORE,842888166,2018-09-01,NAT EXPLORE,Non disponible,72.19Z,02,PME,A,"25  LA CHUTE DES EAUX, 51140 PROUILLY"
NATEO HEALTHCARE,821544285,2016-07-07,NATEO HEALTHCARE,Non disponible,62.01Z,Non disponible,PME,A,"GARE SAINT JEAN, 33000 BORDEAUX"
NATHALIE BLANC PARIS,539924464,2012-02-01,MAISON NATHALIE BLANC,Non disponible,46.46Z,12,PME,A,"160 BOULEVARD DE LA REPUBLIQUE, 92210 SAINT-CLOUD"
NATION DATA CENTER,891257701,2020-10-29,NATION DATA CENTER,Non disponible,63.11Z,03,GE,A,"23 RUE DES LOMBARDS, 75004 PARIS"
NATIVE SPACES,508237112,2008-09-18,NATIVE,Non disponible,59.11A,Non disponible,PME,A,"91 RUE DE PARIS, 78470 SAINT-REMY-LES-CHEVREUSE"
NATIXIS PAYMENTS,345155337,1988-06-01,BPCE PAYMENT SERVICES,Non disponible,64.19Z,41,GE,A,"30 AVENUE PIERRE MENDES FRANCE, 75013 PARIS"
NATURAL GRASS,513852640,2009-07-23,NATURAL GRASS,Non disponible,72.20Z,12,PME,A,"6 RUE CLAUDE FARRERE, 75016 PARIS"
NATURAÉ FRANCE,880024989,2020-01-03,NATURAE FRANCE,Non disponible,46.38B,01,PME,A,"3 PLACE GIOVANNI DA VERRAZZANO, 69009 LYON"
NAVAL ENERGIES,790256671,2013-01-01,NAVAL ENERGIES,Non disponible,71.12B,02,GE,A,"RUE D'INDRET, 44620 LA MONTAGNE"
NAVILY,810544742,2015-02-20,THE NAVIGATION FAMILY,Non disponible,62.01Z,11,PME,A,"7 PLACE DE L'ILE DE BEAUTE, 06300 NICE"
NAWA TECHNOLOGIES,792701518,2013-04-06,NAWA TECHNOLOGIES,Non disponible,74.90B,21,PME,A,"AV LOUIS PHILIBERT, 13080 AIX EN PROVENCE"
NAWATECHNOLOGIES,792701518,2013-04-06,NAWA TECHNOLOGIES,Non disponible,74.90B,21,PME,A,"AV LOUIS PHILIBERT, 13080 AIX EN PROVENCE"
NAWU DIAGNOSTICS,937831493,2024-11-17,NAWU,Non disponible,00.00Z,Non disponible,Non disponible,A,"535 ROUTE DES LUCIOLES, 06560 VALBONNE"
NAÏO TECHNOLOGIES,538138033,2011-11-21,NAIO-TECHNOLOGIES,Non disponible,71.12B,21,PME,A,"3 AVENUE DIDIER DAURAT, 31400 TOULOUSE"
NBOLD,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NCODE.AI,835188525,2018-02-01,NCODE,Non disponible,62.01Z,Non disponible,PME,C,"3 RUE ERNEST RENAN, 92310 SEVRES"
NDMAC SYSTEMS,790614788,2013-01-01,NDMAC SYSTEMS,Non disponible,28.93Z,03,PME,A,"4 RUE DU STIVEL, 29000 QUIMPER"
NEAMETA,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NED ENERGIE,792170342,2013-04-02,NOUVELLES ENERGIES DISTRIBUTION,Non disponible,46.90Z,21,ETI,A,"4 RUE LAVOISIER, 35220 CHATEAUBOURG"
NEEDELP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NEMMÈS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NEO BY NATURE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NEO FORMA,791297120,2013-02-14,NEO FORMA,Non disponible,85.59A,12,PME,A,"7 ALLEE DES VIGNES, 91170 VIRY-CHATILLON"
NEOFARM,980676258,2023-10-17,NEO FARM,Non disponible,70.10Z,Non disponible,Non disponible,A,"90 RUE DES COUPRIES, 44115 BASSE-GOULAINE"
NEOFI SOLUTIONS,488351594,2006-02-01,NEOFI SOLUTIONS,ATHENEO-FI,62.02A,11,PME,A,"27 RUE RAFFET, 75016 PARIS"
NEOJOBS,803847300,2014-08-25,SARL HR STEPS,Non disponible,70.22Z,01,PME,A,"5 RUE DE LA FELICITE, 75017 PARIS"
NEOLINE DÉVELOPPEMENT,813387933,2015-08-03,NEOLINE DEVELOPPEMENT,Non disponible,71.12B,03,PME,A,"60 BOULEVARD MARECHAL ALPHONSE JUIN, 44100 NANTES"
NEOLYS DIAGNOSTICS,883521601,2020-03-28,NEOLYS DIAGNOSTICS,Non disponible,74.90B,02,PME,A,"7 ALLEE DE L'EUROPE, 67960 ENTZHEIM"
NEPTUNE ELEMENTS,894559426,2020-08-20,NEPTUNE ELEMENTS,Non disponible,03.21Z,02,Non disponible,A,"25 ROUTE DE QUELERN, 29570 CAMARET-SUR-MER"
NEST34,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NESTORE GREEN TECHNOLOGIES,817414899,2016-01-02,NESTORE GREEN TECHNOLOGIES,Non disponible,71.12B,Non disponible,PME,A,"27 RUE LUCIEN LANGENIEUX, 42300 ROANNE"
NESTWAVE,805359825,2014-09-25,NEXTNAV FRANCE,Non disponible,62.01Z,11,PME,A,"27 RUE DU CHEMIN VERT, 75011 PARIS"
NETWORKING PREMIUM GROUP,981625494,2023-05-01,NETWORKING PREMIUM GROUP,Non disponible,70.22Z,Non disponible,Non disponible,A,"4 PLACE DE WAGRAM, 75017 PARIS"
NEUROCHAIN TECH,983199811,2023-12-28,NEUROCHAIN,Non disponible,58.29C,Non disponible,Non disponible,A,"50 BOULEVARD VICTOR HUGO, 92200 NEUILLY-SUR-SEINE"
NEUROSNOOPER,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NEW CARD,821766961,2016-07-04,NEW CARD,Non disponible,62.01Z,12,PME,A,"12 RUE DES TOURS, 59800 LILLE"
NEW IMAGING TECHNOLOGIES,494135841,2007-02-01,NEW IMAGING TECHNOLOGIES,NEW IMAGING TECHNOLOGIES,71.12B,12,PME,A,"9 RUE CHARLES FOURIER, 91000 EVRY-COURCOURONNES"
NEW TALES,909289977,2022-01-17,NEW TALES,Non disponible,58.21Z,03,PME,A,"32 RUE PASTEUR, 78000 VERSAILLES"
NEWZIK,525205514,2010-09-23,SYNCSING,Non disponible,62.01Z,02,PME,A,"33 BOULEVARD DE COURCELLES, 75008 PARIS"
NEXT NEUROTECH,918704024,2022-08-29,NEXT NEUROTECH,Non disponible,32.50A,Non disponible,PME,A,"442 RUE GEORGES BESSE, 30000 NIMES"
NEXT STATION,842888265,2018-10-02,NEXT STATION,Non disponible,63.12Z,00,PME,A,"116 RUE REAUMUR, 75002 PARIS"
NEXTBIOTIX,824343214,2016-12-12,EXELIOM BIOSCIENCES,Non disponible,72.19Z,03,PME,A,"14 RUE LACUEE, 75012 PARIS"
NEXTENEO,882828726,2020-03-11,ENEXTEN,Non disponible,71.12B,02,PME,A,"178 ROUTE DE CRAN-GEVRIER, 74650 CHAVANOD"
NEXTFLOW SOFTWARE,812220788,2015-06-24,NEXTFLOW SOFTWARE,Non disponible,58.29C,Non disponible,Non disponible,C,"1 RUE DE LA NOE, 44000 NANTES"
NEXTO SAS,480650712,2005-01-03,FIDUCIAL CLOUD,Non disponible,63.11Z,12,GE,A,"30 RUE PAUL LANGEVIN, 13290 AIX-EN-PROVENCE"
NG BIOTECH,752130831,2012-06-04,NG BIOTECH,Non disponible,20.59Z,21,PME,A,"ATELIER RELAIS LE TREMPLIN, 35480 GUIPRY-MESSAC"
NH THERAGUIX,815260278,2015-12-11,NH THERAGUIX,Non disponible,72.19Z,11,PME,A,"43 BOULEVARD DU 11 NOVEMBRE 1918, 69100 VILLEURBANNE"
NIAGARA TECH SAS,891938383,2020-12-04,NIAGARA TECH SAS,Non disponible,58.29C,02,PME,A,"9 RUE DAREAU, 75014 PARIS"
NICÉPHORE CITÉ,912739075,2022-04-11,NICEPHORE,Non disponible,71.12B,Non disponible,PME,A,"29 AVENUE BOUCICAUT, 71100 CHALON-SUR-SAONE"
NIIWAA,892195561,2020-12-14,INBOUND INTELLIGENCE SOLUTION,Non disponible,62.01Z,11,PME,A,"178 ROUTE DE CRAN-GEVRIER, 74650 CHAVANOD"
NIMBL'BOT,841715303,2018-06-12,NIMBL'BOT,Non disponible,28.29B,11,PME,A,"1 RUE JEAN-BAPTISTE GREUZE, 33160 SAINT-MEDARD-EN-JALLES"
NIREA (FORMERLY BIGARREN BIZI),Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NOBLE.AI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NOCRM.IO,504497215,2008-05-27,POSITIVE GROUP SALES SOLUTIONS,Non disponible,62.01Z,11,PME,A,"5 RUE LEGOUVE, 75010 PARIS"
NOCTURNE GAMES,949301717,2023-02-23,NOCTURNE GAMES,Non disponible,58.21Z,Non disponible,Non disponible,A,"38 RUE DE BERRI, 75008 PARIS"
NODEA MEDICAL,535090252,2011-09-22,NODEA MEDICAL,Non disponible,26.51B,Non disponible,PME,A,"7 ALLEE DES BOUVREUILS, 91370 VERRIERES-LE-BUISSON"
NOMAD EDUCATION,533327128,2011-06-22,NOMAD EDUCATION,Non disponible,73.11Z,12,PME,A,"160 BOULEVARD HAUSSMANN, 75008 PARIS"
NOMAD HOMES,889928214,2020-10-08,NOMAD TECHNOLOGIES FRANCE,Non disponible,68.31Z,11,PME,A,"122 RUE AMELOT, 75011 PARIS"
NOMADEEC,443685573,2002-10-02,ENOVACOM,ENOVACOM - INOVACOM - ANTARES -,58.29A,32,GE,A,"8 RUE JEAN ANTOINE DE BAIF, 75013 PARIS"
NOMADEEC BY EXELUS,443685573,2002-10-02,ENOVACOM,ENOVACOM - INOVACOM - ANTARES -,58.29A,32,GE,A,"8 RUE JEAN ANTOINE DE BAIF, 75013 PARIS"
NOMADMUSIC,444144737,2001-12-04,NOMAD MUSIC,Non disponible,90.01Z,Non disponible,Non disponible,A,"1 RUE ANDRE GIDE, 45120 CHALETTE-SUR-LOING"
NOMADPLAY,801364308,2014-03-25,DIGITAL MUSIC SOLUTIONS,Non disponible,59.20Z,11,PME,A,"118 AVENUE JEAN JAURES, 75019 PARIS"
NONNA LAB,850115189,2019-04-15,NONNA LAB,Non disponible,46.19B,00,PME,A,"15 RUE BENJAMIN FRANKLIN, 66000 PERPIGNAN"
NORMANDY BIOTECH,792482762,2013-05-10,NORMANDY BIOTECH,Non disponible,46.46Z,Non disponible,Non disponible,C,"10 RUE DU PROF EDOUARD ZARIFIAN, 14200 HEROUVILLE-SAINT-CLAIR"
NOSSA!,808864631,2015-01-07,NOSSA,Non disponible,56.10A,11,PME,A,"147 BOULEVARD DE CHARONNE, 75011 PARIS"
NOSTRUM CARE,878918366,2019-09-25,NOSTRUM CARE,Non disponible,66.22Z,Non disponible,PME,A,"15 AVENUE ROBERT SCHUMAN, 13002 MARSEILLE"
NOT SO DARK,821937380,2016-07-18,NOT SO DARK,Non disponible,56.10C,22,PME,A,"6 RUE DU COMMANDANT RIVIERE, 75008 PARIS"
NOTILO PLUS,818400145,2016-02-03,NOTILO PLUS,Non disponible,71.12B,03,PME,A,"4 AVENUE DOYEN LOUIS WEIL, 38000 GRENOBLE"
NOUGA ASSURANCES,828323618,2017-03-07,NOUGA COURTIER DIGITAL,Non disponible,66.22Z,Non disponible,Non disponible,C,"106 RUE LAMARCK, 75018 PARIS 18"
NOUVEAL E-SANTÉ,795280783,2013-09-11,NOUVEAL,Non disponible,63.11Z,12,GE,C,"18 RTE DE VERNAISON, 69540 IRIGNY"
NOUVELLES TRIBUS,888657558,2020-08-29,NOUVELLES TRIBUS,Non disponible,41.10A,Non disponible,PME,C,"18 RUE BARODET, 69004 LYON"
NOVA CARBON,979733920,2023-09-29,NOVA CARBON,Non disponible,13.96Z,Non disponible,Non disponible,A,"166 AVENUE DES MARRONNIERS, 33700 MERIGNAC"
NOVADE SOLUTIONS,834167744,2017-12-14,NOVADE SOLUTIONS EUROPE,Non disponible,58.29B,11,PME,A,"54 RUE DE LONDRES, 75008 PARIS"
NOVAKID,949407910,2023-02-20,JFMBUSINESS,Non disponible,58.14Z,Non disponible,Non disponible,A,"125 ROUTE DU PASSAGE, 38730 CHELIEU"
NOVAPOST,977715671,2023-07-11,NOVA POST FR,Non disponible,53.20Z,Non disponible,Non disponible,A,"66 AVENUE DES CHAMPS ELYSEES, 75008 PARIS"
NOVO SENSO,852126150,2019-06-25,NOVO SENSO,Non disponible,62.01Z,02,PME,A,"2216 ROUTE DU PLATEAU DES BORNES, 74930 ARBUSIGNY"
NU!,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NUMA HEALTH,851781963,2019-06-19,NUMAHEALTH INTERNATIONAL,Non disponible,72.19Z,11,PME,A,"2 AVENUE AMERIGO VESPUCCI, 17000 LA ROCHELLE"
NUMERIAL GROUP,791575566,2013-02-01,GROUPE NUMERIAL,Non disponible,62.02A,Non disponible,Non disponible,C,"43 RUE MOULIN DES BRUYERES, 92400 COURBEVOIE"
NUTRI&CO,825396492,2017-01-26,NUTRI&CO,Non disponible,10.86Z,12,PME,A,"14 RUE CHARLES V, 75004 PARIS"
NUTRI'BOX,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NUTRI'EARTH,830614376,2017-06-15,NUTRI'EARTH,Non disponible,10.89Z,11,PME,A,"1 RUE DU MIN, 59000 LILLE"
NUTRIEARTH,830614376,2017-06-15,NUTRI'EARTH,Non disponible,10.89Z,11,PME,A,"1 RUE DU MIN, 59000 LILLE"
NUVEE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
NUXT'S,828193722,2017-03-03,NUXTLABS,Non disponible,58.29A,11,PME,A,"12 RUE CASSIGNOL, 33000 BORDEAUX"
NV GALLERY,818045585,2015-11-24,NV GALLERY,Non disponible,47.91B,21,PME,A,"9 RUE GROLEE, 69002 LYON"
NVH MEDICINAL,509118998,2008-12-01,NVH MEDICINAL,Non disponible,72.19Z,02,PME,A,"64 RUE SULLY, 21000 DIJON"
NW GROUPE,853652931,2019-07-30,NW GROUPE,Non disponible,64.20Z,Non disponible,ETI,A,"31 AVENUE BOSQUET, 75007 PARIS"
NÉMÈS PARIS,839885373,2018-05-28,NEMES PARIS,Non disponible,47.91B,11,PME,A,"13 RUE SAINT HONORE, 78000 VERSAILLES"
NÉOLITHE,847631207,2019-01-21,NEOLITHE,Non disponible,72.19Z,22,PME,A,"2 ROUTE DU GRAND BOIS, 49750 BEAULIEU-SUR-LAYON"
NÉOSYLVA,843567215,2018-10-23,NEOSYLVA INVESTISSEMENT FORESTIER,Non disponible,70.22Z,03,PME,A,"2163 AVENUE DE LA POMME DE PIN, 45100 ORLEANS"
NÜAG - L'ASSEMBLÉE NUMÉRIQUE,828559427,2017-03-09,THESAURIO GROUP,Non disponible,62.01Z,11,PME,A,"49 BOULEVARD PREUILLY, 37000 TOURS"
NÜRI,889760104,2020-10-05,NURI,Non disponible,71.12B,Non disponible,PME,A,"34 AVENUE DU CHEMIN DE PRESLES, 94410 SAINT-MAURICE"
N?MI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
O'CLOCK,818614588,2016-02-16,O'CLOCK,Non disponible,85.59A,Non disponible,PME,A,"1 BOULEVARD DE CHATEAUDUN, 45000 ORLEANS"
O2KEM,538730771,2011-12-16,O2 KEM,Non disponible,72.19Z,01,PME,A,"LOU CROS, 81290 LABRUGUIERE"
OB'DO,790838726,2013-01-28,OB'DO CONTACT AGILE,Non disponible,71.12B,11,PME,A,"2  ESP ANTON PHILIPS, 14460 COLOMBELLES"
OBERON SCIENCES,895369932,2021-03-15,OBERON SCIENCES,Non disponible,74.90B,03,PME,A,"15 RUE RENE THOMAS, 38000 GRENOBLE"
OBI PARTNER,980639926,2023-10-04,OBI-PARTNER,Non disponible,62.02A,Non disponible,Non disponible,A,"35 QUAI JONGKIND, 38000 GRENOBLE"
OBJOW,852715887,2019-07-10,FIRE TIGER,Non disponible,70.22Z,03,PME,A,"36 RUE VICTOR GRIGNARD, 42000 SAINT-ETIENNE"
OBO WORLD,913219184,2022-05-03,OBO WORLD,Non disponible,62.01Z,Non disponible,PME,A,"23 RUE DU PAQUIER, 74000 ANNECY"
OBYPAY,819547324,2016-04-01,2BEVENTS,Non disponible,62.01Z,03,PME,A,"528 RUE DES PRES PARIS, 74970 MARIGNIER"
OCEAN DATA LAB,792395923,2013-03-29,OCEAN DATA LAB,Non disponible,72.19Z,11,PME,A,"3 ALLEE BEL-ABRI, 29217 PLOUGONVELIN"
OCEAN DIAGNOSTICS,849349642,2019-03-13,OCEAN DX,Non disponible,72.19Z,02,PME,A,"11 AVENUE DE CANTERANNE, 33600 PESSAC"
OCEAN DX,849349642,2019-03-13,OCEAN DX,Non disponible,72.19Z,02,PME,A,"11 AVENUE DE CANTERANNE, 33600 PESSAC"
OCEAN SKILLS,843059338,2018-09-25,OCEAN SKILLS,Non disponible,62.01Z,01,PME,A,"RUE DE PORT LA FORET, 29940 LA FORET-FOUESNANT"
OCEAN SOLUTION ENERGY,837920586,2018-03-01,OCEAN SOLUTION ENERGIE,Non disponible,28.11Z,Non disponible,PME,A,"5 AV DU GEN LECLERC, 60300 SENLIS"
OCEAN WINGS,843204603,2018-07-30,OCEANWINGS,Non disponible,30.11Z,12,PME,A,"2 RUE D'HAUTEVILLE, 75010 PARIS"
OCTO GAMING,844094540,2018-11-20,BETONYOU,Non disponible,62.01Z,03,PME,A,"27 RUE ALFRED KASTLER, 76130 MONT-SAINT-AIGNAN"
OCTOLY,491372090,2006-07-28,VIDEOAGENCY,Non disponible,59.11A,11,ETI,C,"3  VLA GUIZOT, 75017 PARIS 17"
OCTOPIZE,839370681,2018-04-20,BIG DATA SANTE,Non disponible,70.22Z,03,PME,A,"49 RUE CONDORCET, 44100 NANTES"
OCTOPUS LAB,830808424,2017-07-01,OCTOPUS LAB,Non disponible,71.12B,11,PME,A,"270 AVENUE DE LA REPUBLIQUE, 59110 LA MADELEINE"
OCULAI GMBH,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ODASEVA TECHNOLOGIES,751464264,2012-05-01,ODASEVA TECHNOLOGIES,Non disponible,58.29C,21,PME,A,"144 AVENUE CHARLES DE GAULLE, 92200 NEUILLY-SUR-SEINE"
ODC INDUSTRIES,804495661,2014-08-20,ODC INDUSTRIES,Non disponible,22.29B,11,PME,A,"RUE THOMAS EDISON, 56800 PLOERMEL"
ODESYO SAS,832573745,2017-10-09,ODESYO,Non disponible,33.20C,00,PME,A,"ROND-POINT BENJAMIN FRANKLIN, 34000 MONTPELLIER"
ODIHO SOUND ON DEMAND,833667371,2017-11-14,ODIHO,Non disponible,93.29Z,01,PME,A,"42 RUE SAINT-BERNARD, 75011 PARIS"
ODIMMA THERAPEUTICS,830516076,2017-06-27,ODIMMA THERAPEUTICS,Non disponible,72.11Z,03,PME,A,"RUE JEAN SAPIDUS, 67400 ILLKIRCH-GRAFFENSTADEN"
ODO SMART SYSTEMS,534012083,2011-08-04,ODO SMART SYSTEMS,Non disponible,62.01Z,02,PME,A,"ZONE ARTISANALE DE LA CHESNAIE, 49220 LONGUENEE-EN-ANJOU"
ODYSSEE ENVIRONNEMENT,488697640,2006-02-17,ODYSSEE ENVIRONNEMENT,Non disponible,20.59Z,21,PME,A,"ZA LA BELLE CROIX, 72510 REQUEIL"
OFFICE SANTÉ,530460120,2011-02-14,OFFICE SANTE,OFFICE SANTE,41.10C,12,PME,A,"3 ALLEE ANGELIQUE DU COUDRAY, 35000 RENNES"
OFFICINE GÉNÉRALE,750191611,2012-03-07,OFFICINE GENERALE,Non disponible,47.71Z,21,PME,A,"72 RUE CONDORCET, 75009 PARIS"
