Nom,Lien,Description,Catégories,Website,LinkedIn,Adresse,Logo
ALGOS,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mtskFIAQ,"Algos revolutionizes enterprise AI with tailored assistants for every team member—customized yet plug-and-play, a breakthrough made possible by our real-time data normalization technology. Achieving <1% hallucination rates and delivering 10x more accurate responses, we redefine scalable, effortless AI integration for large organizations.","Artificial Intelligence, Enterprise, Fintech, Imaging, Sustainability",https://www.algos-ai.com/,https://www.linkedin.com/company/algos-ai,"7 avenue du Tour de France Chasseneuil Futuroscope, 86360
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mtskFIAQ.jpg
ALLERGEN ALERT,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nkM1KIAU,"Allergen Alert’s vision is to improve the lives of people living with food allergies and celiac disease, reducing the risk of exposure to allergens/gluten, allowing them to test their food. The system is a portable mini-lab that is capable of being used on the go, able to tell you if your allergen/gluten is present or not in your food.","Food Tech, Lifestyle, Startups",https://www.allergen-alert.com/,https://www.linkedin.com/in/allergen-alert,"4f chemin saint just 0680954832 MESSIMY, - 69510
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nkM1KIAU.png
ALMB Group,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYDKJIA4,"ALMB offers EV chargers with leasing or purchase, providing tailored, hassle-free and accessible solutions for all. We also created Melt, our innovative patented sensor, we detect vehicles in charging spots, alert drivers if not charging, and enable fines for misuse.","Energy Transition, IoT/Sensors, Smart Cities, Startups, Vehicle Tech and Advanced Mobility",https://almb.group/,https://www.facebook.com/almbfr,"32 boulevard du Port CERGY, - 95000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYDKJIA4.jpg
APNEAL,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nDszIIAS,Non disponible,"Artificial Intelligence, Digital Health",https://www.apneal.ai/,Non disponible,"5 avenue Jean Jaurès Charenton-Le-Pont, - 94220
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nDszIIAS.png
Aqualung,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mttWeIAI,"Aqualung Group, a leading global designer and manufacturer of dive gear, is proud to introduce a groundbreaking underwater breathing system: the first-ever electronic and connected dive regulator. We pioneered modern diving equipment in 1943 when Captain Cousteau developed the first Aqua-Lung, revolutionizing underwater exploration.",Sports,https://aqualung-group.com/,https://www.facebook.com/aqualungdivers/,"300 Rue du Vallon - Bâtiment Caraïbes Valbonne, - 06560
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mttWeIAI.jpg
Arkamys,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVTyAAP,"A leader in audio signal processing, Arkamys creates innovative software solutions for the automotive and is recognized for its expertise in 3D sound and audio rendering. The company develops innovative solutions to optimize audio quality and spatialization in car cabins. Arkamys solutions are embedded into 80 million vehicles worldwide.","Audio, Content and EntertaInment, Vehicle Tech and Advanced Mobility",https://www.arkamys.com/,https://www.linkedin.com/company/arkamys/,"53 rue Raspail Levallois-Perret, 92300
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013000001KYVTyAAP.png
Arkema,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000oMG1RIAW,"Discover Arkema's Piezotech®: electroactive polymers for printed electronics. With those materials you can transform vibrations, impacts and deformations into electrical signals to make flexible sensors or create flexible, thin and light actuators like speakers or haptic modules.","Digital Health, Fitness, IoT/Sensors, Sourcing and Manufacturing, Vehicle Tech and Advanced Mobility",https://piezotech.arkema.com/en/,https://www.linkedin.com/showcase/arkema-electronics/,"rue henri moissan Lyon, - 69001
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000oMG1RIAW.png
ARMONIE SANTE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nE2FSIA0,Armonie Santé develops biocides and medical devices made from 100% plant-based ingredients for the pharmaceutical industry and other sectors. Our patented biodegradable microcapsule formulations protect for up to 15 days against mosquitoes and 7 days against various pests. Available as a spray or washing machine additive.,"Investing, Sourcing and Manufacturing, Startups",https://www.armoniesante.com/,https://www.facebook.com/NeokizAntiMoustique/?gclid=EAIaIQobChMI5drFhtKPigMVlRoGAB0N8QshEAAYASAAEgLr9fD_BwE,"3 Impasse Léon Dierx Saint Leu, - 97436
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nE2FSIA0.png
ARTHA FRANCE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nDp7XIAS,"Experience vision through your skin! Artha France transforms mobility for blind individuals using AI and sensory substitution. A mini-camera on glasses captures the environment and transmits information via a haptic lumbar belt. This enables users to intuitively perceive their surroundings, redefining autonomy and safety.","Accessibility, Artificial Intelligence, Digital Health, Gaming and Esports, Vehicle Tech and Advanced Mobility",https://www.arthafrance.com/,https://x.com/artha_france,"56 Boulevard des Invalides (INJA) Paris, - 75007
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nDp7XIAS.png
Athana,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000iBlFBIA0,"Athana develops and markets innovative thermotherapy solutions for women, such as Héra, Moona, and Luna. These are natural and non-invasive alternatives designed to relieve chronic pain and discomfort experienced by women.","Accessories, Beauty Tech, Digital Health, Fitness, Lifestyle",https://athana.shop/en,https://www.linkedin.com/company/79947741/admin/dashboard/,"87 rue Saint Aubert ARRAS, - 62000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000iBlFBIA0.png
ATLANTIS AI,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nDwhxIAC,Atlantis AI builds the next generation of National Electronic Health Records to secure and hyper-structure hospitals’ data. Its Blockchain technology allows decentralized AI training to protect patients’ privacy and to preserve hospitals' quality of care by sharing the value-added.,"Artificial Intelligence, Blockchain, Digital Health",Non disponible,Non disponible,"5 avenue du Pré Félin Annecy, - 74490
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nDwhxIAC.png
AtmosGear,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Q3KCZQA3,"We're revolutionizing the skating industry with the world’s first electric rollerblades ! Our universal kit that can electrify any pair of skates to reach 18mph top speed and 16miles of range. Made for sports, leisure and daily commuting — our technology is patented, lightweight and hybrid. Global sales are now open for retailers.","Gaming and Esports, Smart Cities, Sports, Startups, Vehicle Tech and Advanced Mobility",https://www.atmosgear.com/,https://x.com/atmosgears,"57 Avenue de Landshut Compiegne, 60200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00003Q3KCZQA3.png
Auvergne Rhone-Alpes,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001UbZWxQAN,"The Auvergne-Rhne-Alpes region (booth 60711) supports 38 innovatives start-ups, coached by Minalogic, they will present their innovations in artificial intelligence, IoT, smart city, environment and health.","Artificial Intelligence, Digital Health, Smart Cities, Startups, Sustainability",https://www.auvergnerhonealpes.fr/,https://twitter.com/auvergnerhalpes,"101 cours Charlemagne LYON, 69002
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001UbZWxQAN.png
AXL technologies,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046QIktQAG,"AXL technologies offers a unique patented robotic structure for construction workers. Incredibly simple to use, SISYFBOTS allows them to increase productivity and to reduce the hardship of some of their daily tasks.","Construction Tech, Robotics",https://www.sisyfbots.co/,https://www.linkedin.com/company/axl-technologies,"AXL technologies TECHNOPARC 90 rue Henri Fabre, SAINT GENIS POUILLY, ain 01630
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V000046QIktQAG.png
Baracoda Daily Healthtech,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVX8AAP,Baracoda Daily Healthtech uses its IoT expertise to create innovative smart products that empower people to take control of their daily health.,"Digital Health, Fitness, IoT/Sensors, Lifestyle, Smart Home and Appliances",http://www.baracoda.com/en,https://twitter.com/BaracodaGroup,"115 Avenue Charles de Gaulle Neuilly-sur-Seine, 92200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013000001KYVX8AAP.png
Be Energy,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYETUIA4,"Be Energy is the world specialist in the 2nd life of batteries. (Lead, NiCad, NiMH, Lithium) To work in complete safety on lithium batteries for small electromobility applications,we have designed the PTS 800 Secure Workstation. Equipped with sensors & augmented reality,it enables people with disabilities to recondition lithium batteries","Energy Transition, Energy/Power, Sustainability, Vehicle Tech and Advanced Mobility",https://be-energy.net/en/pts800-secured-workstation-for-lithium-batteries-reconditioning/,https://www.linkedin.com/company/batterie-plus-corporation/?viewAsMember=true,"178 rue de l'aulanière AVIGNON, - 84000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYETUIA4.png
Beink Dream,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nXso1IAC,"Beink Dream is a collaborative SaaS BtoB that transforms our ideas into instant production, thanks to an AI technology we developed ourselves. This solution enabled anyone to transform drafts & doodles into professional visuals, but most of all into indefinitely editable visuals, drafting again, transforming ideas into instant production!","Artificial Intelligence, Startups",https://www.beink.fr/,https://www.linkedin.com/company/beink/,"6 rue du Bois Sauvage EVRY-COURCOURONNES, - 91000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nXso1IAC.png
BILL UP,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g6u2dIAA,"Bill Up, an innovative fintech start-up, simplifies bill payments for individuals and businesses by removing the complex steps of traditional banking apps. After creating your account, simply scan the bill: the app automatically collects the data and initiates an account-to-account payment, saving you valuable time. Recipients","Accessibility, Fintech, Lifestyle, Startups",https://www.billup.com/,Non disponible,"11 RUE DE L'EVECHE ANNECY, RHON 74940
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g6u2dIAA.png
Biomechatronics,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002QZU2IAO,"Biomitech creates nature-inspired technologies like BioUrban and HIB to reduce urban and industrial air pollution. Using microalgae and photosynthesis, these systems transform CO2 into oxygen, advancing circular economy goals and improving air quality for healthier cities and industries.","Energy/Power, Smart Cities, Smart Home and Appliances, Sustainability",https://www.biomitech.fr/,https://www.linkedin.com/company/biomitech-eu/?miniCompanyUrn=urn%3Ali%3Afs_miniCompany%3A94073935&lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3BiwNao3dOS%2BmTAe6RW0zYEQ%3D%3D,"Avenue Louis Philibert Pépinière cleantech, Technopole de l'arbois, Aix-En-Provence, 13100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000002QZU2IAO.png
BrightClue,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYFyGIAW,"BrightClue, a DeepTech company specializing in industrial data analysis, transforms engineering data into actionable intelligence. Our flagship product, Probe, combines natural language chat and intuitive 3D search to help you compare 3D parts or access key information instantly, saving time and driving smarter decisions.","Artificial Intelligence, Startups",https://www.brightclue.com/en,https://www.linkedin.com/company/brightclue/,"2 Rue de la Châtaigneraie cesson-sévigné, - 35510
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYFyGIAW.png
Broadpeak,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001a20fSQAQ,"Broadpeak empowers video service providers to stream the content people love with a compelling experience. Broadpeak designs and manufactures video delivery components for Content Providers and Network Service Providers deploying IPTV, Cable, Satellite, OTT and mobile services. #videostreaming #adinsertion #SSAI #CDN #mABR #packaging","Cloud Computing, Content and EntertaInment, Marketing and Advertising, Streaming, Video",https://broadpeak.tv/,https://www.linkedin.com/company/broadpeak_2/,"3771 Boulevard des Alliés Cesson Sevigne, 35510
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001a20fSQAQ.png
Business France - La French Tech,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001N9rRrAAJ,"Business France is responsible for the international development of French companies, international investment in France and the promotion of the French economy.","Accessories, Artificial Intelligence, Digital Health, Robotics, Sports",https://www.businessfrance.fr/,https://www.linkedin.com/company/business-france/mycompany/,"77 Bld Saint Jacques Business France, Espace Paris, 75014
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013000001N9rRrAAJ.png
Business France Automotive,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001TrKzFQAV,"Welcome to the French Pavilion ! Discover the companies of the French delegation : ATEQ, AV-SIMULATION, C-INERTIA, DXOMARK, ENERGIENCY, GULPLUG, KICKMAKER, MICROWAVE VISION, MOTUL, SECURE-IC, TRUST-IN-SOFT. For more information on the French delegation, click on the link below : https://event.businessfrance.fr/ces-automotive-2025/","IoT/Sensors, Marketing and Advertising, Vehicle Tech and Advanced Mobility",https://event.businessfrance.fr/ces-automotive-2025/,https://www.linkedin.com/company/business-france/mycompany/,"77 Boulevard Saint-Jacques 75014 Paris Paris, 75014
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0013A00001TrKzFQAV.png
Capsix Robotics,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000003CyptIAC,"Capsix Robotics invented iYU, the world's first hands-free robotised massage bed with its real-time 3D bodyscan. iYU is a blend of AI technlogy and robotics that offers the best quality of care, intimacy and regularity. After 8 years of R&D and research iYU is now available worldwide.","Artificial Intelligence, Digital Health, Robotics, Sports",https://capsix-robotics.com/en/,https://www.linkedin.com/company/27203410/admin/feed/posts/,"19 Ter Rue Ampère Saint-Cyr-Au-Mont-D'or, Régi 69450
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000003CyptIAC.png
CheckIn-Alarm.com,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g7oj3IAA,"Specialists in AI & IoT, Checkin-Alarm.com by Artifeel develops security products adaptable to any environment. Our Check'In range is an all-in-one alarm and monitoring system, uniquely featuring built-in AI for 100% autonomy, requiring no Wi-Fi or electricity to secure and monitor any infrastructure.","Artificial Intelligence, IoT/Sensors, Smart Cities, Smart Home and Appliances, Startups",https://checkin-alarm.com/,https://www.linkedin.com/company/artifeel-sas/,"60 QUAI PERRACHE Lyon, 69002
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g7oj3IAA.png
Circular,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JHAeDQAX,"Circular is the only wearable device (smart ring) in the world assisted by AI that delivers accessible recommendations and real time haptic feedback to make sense of health data. Users work in full autonomy, changing the way biomarkers are understood and aggregating from many different sources.","Artificial Intelligence, Digital Health, Fitness, IoT/Sensors, Lifestyle",https://www.circular.xyz/,https://www.twitter.com/circularing,"78 av. des Champs Elysées Paris, - 75008
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00002JHAeDQAX.png
CLICK AND LIVE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nCfRiIAK,Click & Live is a French start-up created in 2022 with one goal: Help artists to live through their talent. So our strategy is to find as many places as possible for them with our platform.,"Artificial Intelligence, Content and EntertaInment, Food Tech, Marketing and Advertising, Travel and Tourism",https://www.clickandlive.com/en,https://www.facebook.com/ClickAndLiveFR,"99 A Boulevard Constantin Descat Tourcoing, - 59200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nCfRiIAK.png
CNXT Industry,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nX7MvIAK,"SeaNXT proudly introduces the SeaNXT Elite, a French-made, electric underwater exploration vehicle, engineered with advanced technology for unparalleled performance. Crafted from premium carbon fiber, the Elite is lightweight, modular, eco-friendly and designed for easy component replacement, ensuring longevity and adaptability.","Energy Transition, Lifestyle, Sports, Startups, Vehicle Tech and Advanced Mobility",https://www.sea-nxt.com/,https://www.facebook.com/profile.php?id=61551006765379,"2791 chemin de st bernard Vallauris, - 06220
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nX7MvIAK.jpg
CRYPTOR STUDIO,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nX4NGIA0,"Founded in 2023, Cryptors in the City blends cultural heritage, gaming, and AI to create an app that transforms cities into interactive playgrounds. Based in Paris, it collaborates with tourism offices and municipalities to bring history to life, engaging young travelers with immersive experiences led by historical figures.","Artificial Intelligence, Content and EntertaInment, Education Tech, Gaming and Esports, Travel and Tourism",https://www.cryptorsinthecity.com/,https://www.linkedin.com/company/102668699/admin/dashboard/,"32 Villa de Lourcine Paris, - 75014
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nX4NGIA0.png
DATAGREEN,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mtQ9cIAE,"The greenest technology in the world for Data Centers A Sustainable Evolution of Data Centres We have developed DATA GREEN, energy-efficient data centres that not only meet the growing demands for computing power but also contribute to environmental conservation.","Artificial Intelligence, Cloud Computing, Energy/Power, Smart Cities, Sustainability",https://datagreen.cloud/ces-2025/,https://www.linkedin.com/company/datagreen-netsooon-ai,"470 Promenade des Anglais 0483938868 Nice, - 06200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mtQ9cIAE.jpg
DELUPAY,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003TiVclQAF,"DeluPay is reinventing online and in-store payments with: Easy payments Blazingly fast transactions Uncompromising security Fair pricing DeluPay is a free payment app that charges your expenses directly to your bank account at the end of the day or month, whichever you prefer. Create an account in 5 minutes and you're ready !","Cryptocurrency, Fintech, Retail/E-Commerce, Startups",https://www.delupay.com/,https://twitter.com/delupay,"10 RUE ROQUEPINE PARIS, 75008
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00003TiVclQAF.png
DEM,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g7m9RIAQ,DEM is a software editor. MATVISIO and MATVISIO Omnes are 2 of our softwares,"Artificial Intelligence, Digital Health, Education Tech, Fitness, Startups",https://matvisio-omnes.com/en/,https://www.facebook.com/MATVISIO/,"6 place Louis Chazette lyon, - 69001
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g7m9RIAQ.png
Desinfection Technologie Solution,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000oI7PdIAK,Non disponible,,https://www.dt-solution.fr/,Non disponible,"25 rue des joncs des bois Avignon, - 84000
France",Non disponible
DEVANA,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000n0vWlIAI,"Since 2021, Devana is a comprehensive, proprietary and plug-and-play generative AI software suite dedicated to the large-scale democratization of Generative AI in companies, for intelligent and immersive knowledge management. Available in both SaaS and On-premises. This year, discover Chapy project, combining Augmented Reality and GenAI.","AR/VR/XR, Artificial Intelligence, Lifestyle",https://www.devana.ai/,https://www.youtube.com/playlist?list=PLvGOt4zRfj-PFcsGYKgkyR8twdaiQAZ9M,"Château de Ranrouët HERBIGNAC, - 44410
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000n0vWlIAI.png
DotDot,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g7nHOIAY,Share your extra GBs and get Ca$h back! #dotdot is a telecommunication company inventing mobile-internet-on-demand via the anonymous P2P trading of extra GBs.  #dot's are pocket-size WiFi repeaters putting your phone's hotspot under steroids! Pair a #dot with your phone and make your hotspot anonymous and monetizable!,"Lifestyle, Smart Cities, Smart Home and Appliances, Startups, Travel and Tourism",https://shareyourgbs.com/,https://www.linkedin.com/company/dotdotmesh,"9 avenue Paul Verlaine Grenoble, AURA 38000
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g7nHOIAY.png
Dropy,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000nYHv3IAG,"Dropy is an intermodal navigation app that optimizes trips by seamlessly combining car and public transport. It synchronizes real-time traffic and transit data, providing a sustainable and efficient solution to reduce travel time, costs, and carbon emissions for suburban commuters.","Artificial Intelligence, Smart Cities, Startups, Sustainability, Vehicle Tech and Advanced Mobility",https://dropy.app/,https://www.linkedin.com/in/muniahalabi/,"86 rue Olivier de Serres Paris, - 75015
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000nYHv3IAG.jpg
