title,description,address,logo_url,website,category,url
ARTMAJEUR,Marketplace d'art contemporain en direct des artistes,6 CHABROL Clapiers,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/artmajeur_512x512.jpg,http://artmajeur.com/?utm_source=LesPepitesTech.com,ART,https://lespepitestech.com/startup-de-la-french-tech/artmajeur
MAHOLI,la Poche de froid Périnée pour te sentir bien au quotidien,112 avenue berthelot,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logobaseline_2.png,https://maholi.fr/?utm_source=LesPepitesTech.com,FEMTECH,https://lespepitestech.com/startup-de-la-french-tech/maholi
KLACK,"Klack révolutionne la relation marque consommateur en intégrant la Business Intelligence dans le lancement de produit, la captation de nouveaux consommateurs et la découverte de nouveaux marchés.","5 Rue du Cardinal Lemoine, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_klack_plan_de_travail_1_3.png,https://www.klack.fr/?utm_source=LesPepitesTech.com,BIG DATA,https://lespepitestech.com/startup-de-la-french-tech/klack
WEKIDS - LE BABYSITTING CONNECTÉ®,Vous met immédiatement en relation avec un(e) babysitter de proximité pour garder vos enfants en toute sécurité. Innovante l'appli vous garantit une connectivité pendant le babysitting.,27 BOULEVARD SAINT MARTIN Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/wk_logo.png,https://www.wekids.fr/?utm_source=LesPepitesTech.com,CLOUD,https://lespepitestech.com/startup-de-la-french-tech/wekids-le-babysitting-connecter
ARCHIREALITY,Créateur de contenu VR et AR dans l'immobilier et l'urbanisme,19 BOULEVARD DE LA REPUBLIQUE Aix-en-Provence,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/02-logo-seul.png,http://archireality.com/?utm_source=LesPepitesTech.com,3D,https://lespepitestech.com/startup-de-la-french-tech/archireality
L'ATELIER DE SOLÈNE,"Nous proposons de beaux bijoux d’une grande diversité plaqués or et de qualité à prix abordables aux femmes branchées attentives à la mode qui recherchent des bijoux de tous les jours, élégants et délicats qui résisteront aux années.",25 BOULEVARD DE COURCELLES Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_123.png,https://www.latelierdesolene.fr/?utm_source=LesPepitesTech.com,ART,https://lespepitestech.com/startup-de-la-french-tech/latelier-de-solene
DELEKT.,Livraison de repas 100% fait-maison préparés par les chefs de votre quartier.,"14 Rue le Marois, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/delekt.png,https://delekt.fr/?utm_source=LesPepitesTech.com,FOOD TECH,https://lespepitestech.com/startup-de-la-french-tech/delekt
NOSREZO,L' Appli qui augmente vos revenus en envoyant les meilleurs professionnels de l'Immobilier à vos amis.,2 RUE DU LAC Tigery,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/capture_decran_2021-07-29_a_10.58.25.png,http://www.nosrezo.com/?utm_source=LesPepitesTech.com,ECONOMIE COLLABORATIVE,https://lespepitestech.com/startup-de-la-french-tech/nosrezo
SKELLO,"Gestion de planning et de personnel simple, rapide et connectée pour les restaurants, hotels, cafés, et bars !","30 Rue de Gramont, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/skello-logo_01_1_0.png,https://www.skello.io/?utm_source=LesPepitesTech.com,B2B,https://lespepitestech.com/startup-de-la-french-tech/skello
KAZE,La gestion de vos interventions en temps réel et 100% personnalisable,"2B Rue Michelet, Issy-les-Moulineaux",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_final_kaze.png,https://www.kaze.so/?utm_source=LesPepitesTech.com,GESTION ADMINISTRATIVE,https://lespepitestech.com/startup-de-la-french-tech/kaze
QUICKMS,"Solution SaaS qui révolutionne le monde du pilotage RH. Vos fichiers DSN vous permettent de générer des indicateurs RH, d’accéder à des tableaux de bord et d’obtenir votre BDES en quelques clics.","2 Rue Henri Barbusse, Marseille",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/gros_logo_quick_ms.png,https://quickms.fr/?utm_source=LesPepitesTech.com,APPLICATION,https://lespepitestech.com/startup-de-la-french-tech/quickms
BUYER,"Et si toutes vos offres promotionnelles étaient sur une seule application, en temps réel et autour de vous sur une map",301 COURS LA FAYETTE Lyon,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/26805381_10215404808022169_4740989978447605240_n_0.jpg,http://www.buyertech.fr/?utm_source=LesPepitesTech.com,APPLICATION MOBILE,https://lespepitestech.com/startup-de-la-french-tech/buyer
TOUT POUR LE TOUTOU,Le e-concierge de confiance pour vos animaux de compagnie,Neuilly-sur-Seine,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_final_5.png,http://www.toutpourletoutou.com/?utm_source=LesPepitesTech.com,PETSERVICES,https://lespepitestech.com/startup-de-la-french-tech/tout-pour-le-toutou
BLUECODERS,"Spécialiste du recrutement d'experts et managers Tech, Data, Infra & Produit","42 Rue du Faubourg Poissonnière, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_seul_carre-01.jpg,https://bluecoders.com/?utm_source=LesPepitesTech.com,BIG DATA,https://lespepitestech.com/startup-de-la-french-tech/bluecoders
APPWORK,La solution digitale dédiée à la gestion de votre Comité d'Entreprise.,5 BIS RUE BERANGER Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/appwork_positif_cmjn.jpg,http://app-work.com/?utm_source=LesPepitesTech.com,APPLICATION MOBILE,https://lespepitestech.com/startup-de-la-french-tech/appwork
MONITORIZE,Monitorize est une solution SaaS de veille concurrentielle automatisée pour les e-commerçants et les marques. Surveillez automatiquement les sites de vos concurrents et/ou distributeurs et obtenez des insights puissants sur votre marché et votre offre.,"Blanchemaille by EuraTechnologies, Rue du Fontenoy, Roubaix",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_monitorize_purple4x_0.jpg,https://www.monitorize.fr/?utm_source=LesPepitesTech.com,APPLICATION ECOMMERCE,https://lespepitestech.com/startup-de-la-french-tech/monitorize
WEPROC,Logiciel SaaS qui optimise et facilite la Gestion des Achats des PME.,Toulon,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-weproc.png,https://www.weproc.com/?utm_source=LesPepitesTech.com,ACHAT,https://lespepitestech.com/startup-de-la-french-tech/weproc
RENTLI,"Le service clé en main de location de meubles pour simplifier votre emménagement (avec option d’achat). On s'occupe de la livraison, du montage et de la reprise des meubles 😉.","37 Rue Desnouettes, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/rentli_logo_0.png,http://www.rentli.fr/?utm_source=LesPepitesTech.com,MOBILITÉ DURABLE,https://lespepitestech.com/startup-de-la-french-tech/rentli
HELLOWAYS,"Randos et Micro-aventures 100% Nature Autour des Grandes Villes, Accessibles sans Voiture. #France #Belgique",12 RUE DU PRE FAUCON Annecy,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/helloways12x_trans.png,https://www.helloways.com/?utm_source=LesPepitesTech.com,COMMUNAUTÉ SPORTIVE,https://lespepitestech.com/startup-de-la-french-tech/helloways
TIIME,Une solution de comptabilité et de facturation pour les entrepreneurs,"15 Rue Auber, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-tiime-2020-color_2_1_0.png,http://www.tiime.fr/?utm_source=LesPepitesTech.com,COMPTABILITÉ,https://lespepitestech.com/startup-de-la-french-tech/tiime
CERTICAR,Le compagnon des automobilistes,"60 Rue François 1er, 75008 Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/certicarlogo.jpg,https://www.certicar.eu/?utm_source=LesPepitesTech.com,AUTOMOBILE,https://lespepitestech.com/startup-de-la-french-tech/certicar
TREASY,Vos fichiers stockés avec une sécurité renforcée pour toute la vie et au-delà,"Paris 8, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/image001_2.png,https://treasy.fr/?utm_source=LesPepitesTech.com,COFFREFORTNUMÉRIQUE,https://lespepitestech.com/startup-de-la-french-tech/treasy
TEMPR.,Des super-pouvoirs pour les mobiles marketers. Prédiction et automatisation leur permettent de maximiser la croissance de leur app.,"83 Rue du Faubourg Saint-Denis, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/tempr.png,https://tempr.ai/?utm_source=LesPepitesTech.com,SAAS,https://lespepitestech.com/startup-de-la-french-tech/tempr
WEEPO,Le portage Salarial 100 % Digital - L'avantage de l'indépendance lié au confort du salariat.,"22 Rue de la Pépinière, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/weepo_logo.jpg,https://weepo.fr/?utm_source=LesPepitesTech.com,APPLICATION,https://lespepitestech.com/startup-de-la-french-tech/weepo
IVES,Solution alliant digital et humain pour rendre l'accompagnement à la création d'entreprise accessible à TOUS et sur tous les territoires.,"13 Rue la Pérouse, Nantes",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-01_2.png,http://www.ives-incubator.com/?utm_source=LesPepitesTech.com,ABONNEMENT,https://lespepitestech.com/startup-de-la-french-tech/ives
NÉNUFARM,"NENUFARM développe des écosystèmes innovants axés autour du cycle de l'eau. Symbiose entre vie végétale et animale, l'Aquarium Potager de Nénufarm offre un nouvel usage de l'aquarium.","27 Rue d'Aubuisson, Toulouse",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_couleur_-_ecriture_noire.png,https://www.nenufarm.fr/?utm_source=LesPepitesTech.com,AGRITECH,https://lespepitestech.com/startup-de-la-french-tech/nenufarm
MIIST 🌳🛵🚲🚀,"Miist révolutionne la logistique urbaine Zéro Emissions. Présente sur 3 pays et prochainement sur L'Angleterre, Miist offre des solutions agiles de livraisons basées sur la #greentech et des solutions logicielles innovantes pour les grands groupes.","66 Avenue des Champs-Élysées, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_miist.png,http://www.miistgroup.com/?utm_source=LesPepitesTech.com,EXPÉDITION,https://lespepitestech.com/startup-de-la-french-tech/miist
D'OR ET DE VINS,"La nouvelle plateforme de conseil, vente et livraison de vins d'exception à domicile","15 Rue de Milan, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_vins_5.png,https://doretdevins.com/?utm_source=LesPepitesTech.com,FOOD TECH,https://lespepitestech.com/startup-de-la-french-tech/dor-et-de-vins
CUVÉE PRIVÉE,Adoptez des vignes chez un vigneron d'exception et recevez votre propre cuvée,136 BOULEVARD DE L HOPITAL Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_def_cv_stacked_v2.png,https://www.cuvee-privee.com/?utm_source=LesPepitesTech.com,CADEAU,https://lespepitestech.com/startup-de-la-french-tech/cuvee-privee
IPAIDTHAT,"Grâce à une technologie innovante, iPaidThat récupère l’ensemble de vos factures et pièces comptables depuis vos boites mails, vos sites fournisseurs ou via une photo depuis votre smartphone et les saisis dans un espace dédié sur l’outil.","198 Avenue de France, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-badge-header.png,https://ipaidthat.io/?utm_source=LesPepitesTech.com,COMPTABILITÉ,https://lespepitestech.com/startup-de-la-french-tech/ipaidthat
PANODYSSEY,Panodyssey est le 1er réseau social responsable pour les créateurs de contenus indépendants. La plateforme redonne le pouvoir aux créateurs en leur offrant une solution No Code simple et intuitive pour créer et partager leurs passions en toute liberté..,"10 rue Bapst, 92600 Asnières-sur-seine",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/group_27.png,https://panodyssey.com/?utm_source=LesPepitesTech.com,CONTENU,https://lespepitestech.com/startup-de-la-french-tech/panodyssey
BOBBEE,L’outil tout-en-un créé par des experts-comptables pour rassembler cabinets et entreprises,"14 Rue des Jeuneurs, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/bobbee_logo_03_rvb_plan_de_travail_1_copie_2_0.jpg,https://www.bobbee.co/?utm_source=LesPepitesTech.com,COMPTABILITÉ,https://lespepitestech.com/startup-de-la-french-tech/bobbee
KILLBILLS,"Validez, payez et recevez votre ticket de caisse digital de manière instantanée dans votre espace bancaire grâce au service KillBills.","9 Rue du 4 septembre, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/linkedin_logo4x.jpg,https://killbills.co/?utm_source=LesPepitesTech.com,TICKET DE CAISSE DÉMATÉRIALISÉ,https://lespepitestech.com/startup-de-la-french-tech/killbills
FROGMASK,"Masques anti-pollution chics, fabriqués en France et équipés de filtres FFP2 pour le vélo et la moto",15 Ter rue Ernest Cognacq,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-frogmask-cocarde-couleur-rondblanc.png,http://www.frogmask.eu/?utm_source=LesPepitesTech.com,MASQUES,https://lespepitestech.com/startup-de-la-french-tech/frogmask
REBORN,La première plateforme d'achat et vente de meuble d'occasion en vidéo.,"12 Rue Etienne Marcel, Pantin",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/plan_de_travail_1_3.png,https://reborn.fr/?utm_source=LesPepitesTech.com,ECOLOGIE,https://lespepitestech.com/startup-de-la-french-tech/reborn
MEMOIRE-RED,"Mémoire-Red Cognitive and Social Programme, ""Medico-social establishments and services The objective ""Prevention of loss of autonomy & Ageing well"". For our seniors and our elders.""Research & Development, Publishing... .","Innoparc 32ème rue, 6 Rue Roger Salengro, Auch",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_memoire-red_1.jpg,https://www.memoirered.com/?utm_source=LesPepitesTech.com,Catégorie non disponible,https://lespepitestech.com/startup-de-la-french-tech/memoire-red
DOMMARKET,La marketplace qui connecte les vendeurs européens aux consommateurs des DOM-TOM.,"9 Rue Jacquard, Le Pré-Saint-Gervais",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/dommarket-logo.png,https://dommarket.fr/?utm_source=LesPepitesTech.com,MARKETPLACE,https://lespepitestech.com/startup-de-la-french-tech/dommarket
SUMA,Gestion du développement durable pour les entreprises Tech et du Web3,"930 Route des Dolines, Valbonne",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/suma_logo_square_brown.png,https://suma.eco/?utm_source=LesPepitesTech.com,DURABILITÉ,https://lespepitestech.com/startup-de-la-french-tech/suma
VENTE SOLIDAIRE,L'outil idéal qui facilite l'organisation des ventes pour associations,"40 Rue Alexandre Dumas, 75011 Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-carre-300-300_0.jpg,https://ventesolidaire.com/?utm_source=LesPepitesTech.com,ÉCONOMIE SOCIALE ET SOLIDAIRE,https://lespepitestech.com/startup-de-la-french-tech/vente-solidaire
FRENCH BETTING SCHOOL,La première école du pari sportif : Valoriser le parieur au cœur de l'écosystème grâce à une plateforme 3.0,"4 Rue de la République, 69001 Lyon",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/131942389_210397287245603_7546289210028948172_n_1.png,https://french-betting-school.com/?utm_source=LesPepitesTech.com,PARIS SPORTIFS,https://lespepitestech.com/startup-de-la-french-tech/french-betting-school
VIZAPP,Vizapp est la plateforme sociale qui permet de sécuriser tous vos achats d'occasion ainsi que de rentabiliser votre temps libre et vos compétences.,Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/vizapp_icon_-_light.png,https://vizapp.fr/?utm_source=LesPepitesTech.com,ACHAT,https://lespepitestech.com/startup-de-la-french-tech/vizapp
PANDALOC,"Pandaloc est la plateforme qui simplifie et pacifie la location immobilière. Les propriétaires qui gèrent leurs biens immobiliers avec Pandaloc ont plus de temps et moins de stress. Publiez vos locations, examinez les locataires et encaissez les loyers.","10 Rue de la Paix, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/untitled_7.png,https://www.pandaloc.com/?utm_source=LesPepitesTech.com,FRENCH TECH,https://lespepitestech.com/startup-de-la-french-tech/pandaloc
BUNJI,Le premier service permettant aux pro de l'immobilier d'identifier les vendeurs d'appartements dans leur portefeuille,"STATION F, Parvis Alan Turing, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_grand.jpg,https://www.bunji.fr/?utm_source=LesPepitesTech.com,ABONNEMENT,https://lespepitestech.com/startup-de-la-french-tech/bunji
KIDLOU,Application de location de matériel de puériculture entre particuliers,Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/22-06-23_-_kidlou_-_logo_1_page-0001_1.jpg,https://kidlou.fr/?utm_source=LesPepitesTech.com,ENFANTS,https://lespepitestech.com/startup-de-la-french-tech/kidlou
SOPHT,Sopht est une plateforme qui permet aux organisations IT de piloter de manière dynamique leur empreinte environnementale et d’automatiser leur trajectoire de décarbonation.,"24 Boulevard Eugène Réguillon, Villeurbanne",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/sopht_logo_noir_1_0.png,https://sopht.com/?utm_source=LesPepitesTech.com,GREENIT,https://lespepitestech.com/startup-de-la-french-tech/sopht
VINS FRANCS,Le contact d'un caviste de proximité...en ligne,"La Brousse, Saint-Germain-du-Corbeïs",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/vins_francs_logo_1_0.png,https://www.vinsfrancs.fr/?utm_source=LesPepitesTech.com,ACTIVITÉS ET LOISIRS,https://lespepitestech.com/startup-de-la-french-tech/vins-francs
PANDACOLA,"Pandacola est la première plateforme B2B 100% dédiée à l'objet personnalisé. Quelques clics suffisent pour accueillir, habiller, remercier, activer, surprendre, fidéliser ou fêter... Avec l'objet personnalisé !","Biocluster Les Haras, Rue des Glacières, Strasbourg",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/rond-fond.jpg,https://www.pandacola.com/?utm_source=LesPepitesTech.com,B2B,https://lespepitestech.com/startup-de-la-french-tech/pandacola
WEDRIVIT,Véritable ‘Airbnb’ de la voiture ancienne.,"51 Quai Lawton, Bordeaux",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/wedrivit-icone_au_dessus_1.png,https://www.wedrivit.com/?utm_source=LesPepitesTech.com,TOURISME,https://lespepitestech.com/startup-de-la-french-tech/wedrivit
COMONGO,Nous avons créé la première application SaaS d'audit qualitatif des communications d'entreprise,Grenoble,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/comongo_rvb_yt.png,https://www.comongo.fr/?utm_source=LesPepitesTech.com,ANALYSE,https://lespepitestech.com/startup-de-la-french-tech/comongo-0
ONLYONE,Le premier compte à impact positif,"Paris 2, 75002 Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/onlyone_logo_gradient_greenblue.png,https://onlyonecard.eu/?utm_source=LesPepitesTech.com,BANQUE,https://lespepitestech.com/startup-de-la-french-tech/onlyone
ART4DESIGN,"Art4Design réunit une sélection d'artistes, d'art plastique, art urbain, photographie, invités à donner une nouvelle vie au mobilier des particuliers, mais aussi pour des hôtels, des bars.",3 rue Redon,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/redo2_2.png,http://www.art4design.fr/?utm_source=LesPepitesTech.com,ART,https://lespepitestech.com/startup-de-la-french-tech/art4design
ARTIBOX,La 1ère plateforme qui digitalise l’artisanat,"36 Rue de Lamirault, Collégien",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/artibox_2.png,https://www.arti-box.fr/?utm_source=LesPepitesTech.com,APP,https://lespepitestech.com/startup-de-la-french-tech/artibox
EDAF,"Votre Directeur Administratif et Financier, 100% digital, 100% humain","4 Rue de Lisbonne, Schiltigheim",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/edaf-logo02-couleur-baseligne4x.png,http://e-daf.io/?utm_source=LesPepitesTech.com,COMPTABILITÉ,https://lespepitestech.com/startup-de-la-french-tech/edaf
ARTIBOX,La 1ère plateforme qui digitalise l’artisanat,"36 Rue de Lamirault, Collégien",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/artibox_2.png,https://www.arti-box.fr/?utm_source=LesPepitesTech.com,APP,https://lespepitestech.com/startup-de-la-french-tech/artibox
FILTER MAKER,Agence de création et diffusion de contenu en réalité augmentée.,"28 Rue Rousselet, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-filtermaker-linkedin.png,https://filtermaker.fr/?utm_source=LesPepitesTech.com,MARKETING,https://lespepitestech.com/startup-de-la-french-tech/filter-maker
REGATE,"Regate est un logiciel comptable qui permet aux entreprises de gérer et comptabiliser les factures, les notes de frais, de payer ses fournisseurs ou de reçevoir des paiements.","17 Rue Saint-Fiacre, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/2021-02-08_10_49_22-regate.png,https://www.regate.io/?utm_source=LesPepitesTech.com,COMPTABILITÉ,https://lespepitestech.com/startup-de-la-french-tech/regate
CLEANMOB,Décarbonation & optimisation de flottes de véhicules d’entreprises grâce à notre technologie propritaire de Virtual Sensors (plus besoin d'installer un boîtier coûteux sur les véhicules).,20 B RUE LOUIS PHILIPPE 92200 NEUILLY-SUR-SEINE,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/image_3cleanfleet_logo.png,https://cleanmob.eu/?utm_source=LesPepitesTech.com,DATA SCIENCE,https://lespepitestech.com/startup-de-la-french-tech/cleanmob
REEVIVE,"Trouvez le meilleur réparateur pour vos smartphones, laptop, consoles ... Grâce à nos algorithmes de matching","STATION F, Parvis Alan Turing, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/reevive-logo-gradientvert-c_2.png,https://reevive.fr/?utm_source=LesPepitesTech.com,MARKETPLACE,https://lespepitestech.com/startup-de-la-french-tech/reevive
HELLO MY CAKE,Hello My Cake est une plateforme de mise en relation entre pâtissiers et particuliers. Je souhaite apporter une touche d'innovation pour nos amis les pâtissiers et faciliter la prise de commande en ligne d'un gâteau pour tout le monde :D.,Marseille,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-hellomycake.jpg,https://hellomycake.com/?utm_source=LesPepitesTech.com,ACHAT,https://lespepitestech.com/startup-de-la-french-tech/hello-my-cake
IDAREYOU,Le 1er réseau social permettant de donner à des associations via des challenges caritatifs,33000 Bordeaux,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/idareyou_logo_resources.png,http://www.idareyou.io/?utm_source=LesPepitesTech.com,ASSOCIATIONS,https://lespepitestech.com/startup-de-la-french-tech/idareyou
KELEPOQ,"KELEPOQ chine aux quatre coins de l’Europe de vieilles photographies en noir et blanc dans des brocantes, des vides greniers, chez des antiquaires, etc. Elles sont ensuite restaurées dans son atelier afin de pouvoir les éditer en très grande qualité.","17, Parc d’activité La Salorge 85330 Noirmoutier en l’Île",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/kelepoq_2.jpg,https://www.kelepoq.com/?utm_source=LesPepitesTech.com,ART,https://lespepitestech.com/startup-de-la-french-tech/kelepoq
BPARTNERS ARTISANS & INDÉPENDANTS,"BPartners est l'application tout-en-un, INTUITIVE ET INTELLIGENTE qui fait gagner du temps et des clients aux artisans et indépendants","27 Rue du Chemin Vert, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-bpartners_5-_assistant_intelligent.png,https://bpartners.app/?utm_source=LesPepitesTech.com,ARTISANS,https://lespepitestech.com/startup-de-la-french-tech/bpartners-artisans-independants
