name,description,website,city,development_level,looking_for,fundraising,link,Logo,Field_1,Field_2,Field_3
AMK Biotech,"AMKbiotech is an innovative laboratory, providing the bio-pharmaceutical actors with tailored services in biomarker identification and drug efficacy evaluation using High-Plex tissue imaging and Cytometry analysis. From project design and sample processing to computational AI-based data analysis, AMKbiotech developed an end-to-end optimized analytical process to accelerate pre-clinical, translational and clinical studies.",https://www.amkbiotech.fr/,SOPHIA-ANTIPOLIS,,"TALENTS, FUNDING",,https://vivatechnology.com/partners/amk-biotech,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/5f8f807c-f17b-4ab4-8d3c-ce02894ea39f1,Artificial Intelligence,Healthcare & Wellness,"Luxury, Fashion & Cosmetics"
AMK biotech,"AMKbiotech is an innovative laboratory, providing the bio-pharmaceutical actors with tailored services in biomarker identification and drug efficacy evaluation using High-Plex tissue imaging and Cytometry analysis. From project design and sample processing to computational AI-based data analysis, AMKbiotech developed an end-to-end optimized analytical process to accelerate pre-clinical, translational and clinical studies.",https://www.amkbiotech.fr/,SOPHIA-ANTIPOLIS,,"TALENTS, FUNDING",,https://vivatechnology.com/partners/amk-biotech-2,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9f8093d8-c3fe-43d5-8248-c0129d0144151,Artificial Intelligence,Healthcare & Wellness,"Luxury, Fashion & Cosmetics"
AMPECO,AMPECO is the leading EV Charging SaaS platform on Europe.,https://vivatechnology.com/partners/Ampeco.com,SOFIA,GROWTH & SCALE,,,https://vivatechnology.com/partners/ampeco,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1228f0ef-2ade-432e-811c-6bcb24aacb7f1,Climate Tech,Energy,Mobility & Smart City
AMPHITRITE,"The data and software solutions developed by Amphitrite are based on the fusion of multiple satellite observations, coupled with artificial intelligence, enabling very precise detection of variations in the position and intensity of surface currents that can slow down or accelerate commercial vessels. This technology is the result of research carried out in recent years by Amphitrite's founding team at CNRS and École Polytechnique. It paves the way for fine ocean routing, which optimizes the day-to-day trajectory of ships to reduce their fuel consumption and CO2 emissions.",https://vivatechnology.com/partners/www.amphitrite.fr,PALAISEAU,,,,https://vivatechnology.com/partners/amphitrite,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/724a0762-3300-4f6e-88fb-5bf7fa9209fe1,Artificial Intelligence,Climate Tech,Space & Aeronautics
ANAE,"ANAE est un outil de LSF créé par la start-up Keia. Elle est intègre les mouvements humains via de la motion capture et les reproduit via un IA. Elle agit en traduisant en LSF des notions clés qui alimentent une base de données. En répétant ce processus, elle traduira quasiment automatiquement les différentes notions clés connues de la base de données.",https://www.elections.interieur.gouv.fr/comprendre-elections/comment-je-vote/vote-des-personnes-en-situation-de-handicap-laccessibilite-des,PARIS,STABLE BUSINESS,,,https://vivatechnology.com/partners/anae,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/be1e50ca-42c4-497c-805f-88328302aefd1,Artificial Intelligence,Diversity & Inclusion,
ANALOGIES,"The ORCAD Project (ORal CAncer Detection) aims to develop a multi-device application for early detection of oral cancers using a simple smartphone photo. This project involves a three-way collaboration between LIPADE (Paris Descartes University), CIMI (Pitié Salpêtrère), and ANALOGIES, a company specializing in web platforms and artificial intelligence algorithms.",https://analogies.ai/,TOURS,GOING TO MARKET,,,https://vivatechnology.com/partners/analogies,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/dab27b74-eb21-4aa9-b341-706db6fe27dd1,Artificial Intelligence,DeepTech,Healthcare & Wellness
ANAPIX medical,"ANAPIX medical, co-founded by Bernard Fertil, former Research Director at the French National Centre for Scientific Research (CNRS) and a biomedical entrepreneur, André Fond offers advanced medical imaging solutions for skin cancer early detection. ANAPIX combines tele-expertise and artificial intelligence to enhance diagnostic accuracy for skin cancer. The SkinApp platform is CE marked, designed for healthcare professionals enabling them to gather and manage both clinical and dermoscopic images. ANAPIX is an ISO 13485 certified medical device. SkinApp includes: * A smartphone with a dermoscope and adapter; * A smartphone app that captures images, locates skin lesions on the body, and transmits them in real-time to a certified health data hosting system; * A web application for instant image gathering, managing and analysing, allowing users to add health information, use AI for dermoscopic images and request a dermatologist expertise to draft a medical report.",https://anapix-medical.com/,AIX-EN-PROVENCE,GROWTH & SCALE,,,https://vivatechnology.com/partners/anapix-medical,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4f0d9d25-30ff-4e04-968c-9e8ff081dfaf1,Artificial Intelligence,B2B Services,Healthcare & Wellness
ANFR,"The National Frequency Agency, a public administrative body, was set up by the Telecommunications Regulation Act of 26 July 1996 to plan, manage and monitor the use of public radio frequencies in France. On 1st January 1997, the ANFR was created by merging the Comité de Coordination des Télécommunications (CCT), the Service National des Radiocommunications (SNR) and part of the Post and Telecommunications department",https://vivatechnology.com/partners/www.anfr.fr,,,,,https://vivatechnology.com/partners/anfr,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/394291bb-b129-4968-8f26-6b96ac528ccd1,5G & Connectivity,GovTech & Public Sector,
ANYOS,"ANYOS manufactures France's first eco-designed, scalable and modular electric charging stations, and provides turnkey support to companies, public authorities and local authorities for the audit, installation, operation, maintenance and upgrading of their charging infrastructure. Our short-run, low-carbon production reflects our approach to French reindustrialization, deprogrammed obsolescence and decarbonization of the mobility industry. Discover the world's 1st 100% scalable and modular charging station, ANY S_. Its patented innovation allows the number of charging points on each station to evolve, and above all to anticipate and absorb all future hardware and software developments on the market.",https://www.anyos.fr/,BRIATEXTE,,,1 500 000€€,https://vivatechnology.com/partners/anyos,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9e505256-f378-43e1-babe-426de02a72501,Cybersecurity,"Industry, Logistics & Supply Chain",Mobility & Smart City
AP solution IO,"The Next-Gen RegTech for Names & Transactions screening, Augmented Intelligence apps (SaaS & API) to be 100% compliant with KYC, AML-CFT, anti-bribery...regulations. Historical expertise for the most Efficient & Competitive scoring solution on the market.",https://vivatechnology.com/partners/www.ap-solutions.io,PARIS,,"TALENTS, FUNDING",,https://vivatechnology.com/partners/ap-solution-io,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/752483d5-e6d8-4cf2-8c78-8a74973c016b1,B2B Services,Data Management & CRM,"Fintech, Insurance & Legal"
APGAR,"APGAR is a services and advisory company that assists companies aiming for the data and AI to be at the heart of their strategy. With more than 200 consultants working daily around Data Management & AI topics, Gartner has identified APGAR as 1 of the 18 major MDM External Services Providers in the last three years MDM Market Guides. With more than 200 consultants working daily around Data Management & AI topics and operating across several countries, APGAR covers a whole range of services including consultancy, implementations, change management, managed services, and training. APGAR headquarter is in France (Paris) and has offices in Lebanon (Byblos), Portugal (Porto), Spain (Madrid), The United Kingdom (London), Switzerland (Zurich), The United States of America (Austin), Brazil (Sao Paulo), Cyprus (Larnaca) and Australia (Sydney). Gartner has identified APGAR as 1 of the 18 major MDM External Services Providers in the last three years MDM Market Guides.",https://vivatechnology.com/partners/www.apgar-group.com,,,,,https://vivatechnology.com/partners/apgar,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/41368a74-00ed-4c6a-be91-aab4d16aeb621,Artificial Intelligence,Climate Tech,Data Management & CRM
AQEMIA,"AQEMIA is a next-gen pharmatech company generating one of the world's fastest-growing drug discovery pipeline. Our mission is to design fast innovative drug candidates for dozens of critical diseases. Our differentiation lies in our unique quantum and statistical mechanics algorithms fueling a generative artificial intelligence to design novel drug candidates, with already several drug discovery successes in internal pipeline as well as in collaboration with Pharma companies.",https://www.aqemia.com/,PARIS,,,61 000 000€,https://vivatechnology.com/partners/aqemia,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/93de5a92-f028-4e15-9caa-566956627ce11,Artificial Intelligence,DeepTech,Healthcare & Wellness
AR Engineering,"AR Engineering, an Emirati software development company specializing in 3D and Augmented Reality (AR) technology, we are transforming industries by addressing the knowledge and skills gap. As a Future 100 Company recognized by the UAE Ministry of Economy and with venture backing from Boeing and the Tawazun Council, we are committed to enhancing workforce education and training. Our core solution turns complex systems and manuals into interactive and visual experiences, significantly improving knowledge retention and reducing training times. Serving top-tier clients like Boeing, GE, EDGE Group, and the UAE Ministry of Defence, we aim to become a global leader in AR software technology, rising from the UAE!",https://www.arengineering.tech/,SHARJAH,,,"€230,000€",https://vivatechnology.com/partners/ar-engineering,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/88a73588-cb7b-4570-8724-26c0fb9d70f81,Artificial Intelligence,Education,XR & Metaverse
ARCHIMAID,"ARCHIMAID is a PropTech company that simplifies renting without a guarantor through advance rent payments. This solution makes housing accessible to individuals with financial resources but without a guarantor. We also offer a professional subletting service for private owners, creating a large rental pool aimed at people, promoting a more inclusive property management approach. It represents a practical innovation in rental relationships by providing a solution for the advance payment of rent. The implementation unfolds in three clear steps: Agreement on the number of rents to be paid in advance (typically between four and six months). Payment of the advance rents by the tenant via specially established escrow escrow accounts. Regular transfer of rent to the property owner on a fixed monthly date. This solution is operational within a maximum of 48 hours, and complements existing rental guarantees, thus ensuring the security of leases across Europe.",https://www.archimaid.com/,BORDEAUX,,"TALENTS, FUNDING",,https://vivatechnology.com/partners/archimaid,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/94ca7c2d-1695-4bdf-b997-0e8535c84e301,Diversity & Inclusion,"Fintech, Insurance & Legal",Marketing & Advertising
ARGO,"In today's rapidly evolving business landscape, staying ahead of the competition is not just about delivering a product or service—it's about creating meaningful and memorable customer experiences. That's where Augmented Customer Experience (ACX) comes in. ACX is not just another software-as-a-service (SaaS) solution; it's a revolutionary tool designed to transform the way you engage with your customers and enhance every outbound communication on all your channels using augmented reality and artificial intelligence.",https://ar-go.co/,MONTPELLIER,,,,https://vivatechnology.com/partners/argo,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/424dbc3f-a440-432e-a941-c1d5589f7ef31,Artificial Intelligence,Education,XR & Metaverse
ARMENIA - Ministry of High-Tech Industry,"The Ministry develops and implements the policy of the Government of the Republic of Armenia in the following areas: High technology, Information technology, Information Security, Digitalization, Post, Communication, International cooperation, Licensing, Space, Military industry. The goal of the Ministry is to create and strengthen conditions for balanced and sustainable development of each of the mentioned areas, as well as to to ensure the economic growth of the State.",https://hightech.gov.am/en/,,,,,https://vivatechnology.com/partners/armenia-ministry-of-high-tech-industry,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8b27b24b-23b1-49c8-b0c9-5c932c44c29e41,Artificial Intelligence,Cybersecurity,GovTech & Public Sector
ARPINET LLC,"«Arpinet» company was founded in 2007. Initially, it provided internet access services only in Ejmiatsin city. Since 2008, in the cities of Armavir and Metsamor, as well as in the neighboring villages of Ejmiatsin. The company's goal was to provide access to innovative technological solutions for subscribers, which provided an opportunity to provide high-speed Internet and IP TV to legal entities and individuals. The company's goal is to provide subscribers with appropriate and affordable services for legal entities and individuals. «Arpinet» company was the first in Armenia to implement the «Fiber-optic in the village» strategy using GePON technology and made all services available to residents of apartment buildings and private sector of cities, as well as nearby and border villages. In 2011, the network infrastructure was almost completely upgraded with new technologies, as a result of which the company had the opportunity to provide services in the entire Armavir region.",https://arpinet.am/,VAGHARSHAPAT,,"FUNDING, TALENTS",,https://vivatechnology.com/partners/arpinet-llc,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1a5e0c5a-cde2-4afa-8096-5a58eb4c3a2f1,Cloud & Infrastructure,Cybersecurity,Mobility & Smart City
ART&FACT INNOVATION,"We design and manufacture pylons intended to accommodate the antennas of mobile telephone operators. Our big difference lies in the fact that they respect 4 innovative criteria: - The structures are designer and architectural, integrating perfectly into the landscape and their environment. - The materials used reduce their carbon footprint and are biosourced. - Our pylons are ""vegetated"", since we grow climbing plants at the foot, the objective of which is to cover 3/4 of the structure. - Finally, the masts can accommodate bio-diversity elements, such as nest boxes or shelters for insects or bats for example.",https://www.artetfact.eu/,LE FRANÇOIS,GOING TO MARKET,,,https://vivatechnology.com/partners/artfact-innovation,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7623e20e-59b9-4d1f-8da1-1044561baf921,5G & Connectivity,Climate Tech,Mobility & Smart City
ARTCENTRICA,"ArtCentrica EDU is an online platform that transforms the learning and teaching of art and humanities through art. Offering access to over 8,000 high-resolution artworks from global museums and galleries, this unique educational tool promotes an interactive and interdisciplinary approach, enabling users to explore artworks in detail, analyze them, and present them in innovative ways. ArtCentrica EDU is designed to enrich the educational experience of both students and teachers, supporting the development of soft skills such as critical thinking and creativity through engaging and customizable content. With a strong focus on experiential and creative education, ArtCentrica aims to serve as a bridge between the global cultural heritage and the new generations. With ArtCentrica Ad Hoc, we enable a new digital experience for cultural, educational, publisher players, like we have done with National Geographic https://ngs.artcentrica.com, Brera Museum and more.",https://www.artcentrica.com/,FIRENZE,,,393 000€,https://vivatechnology.com/partners/artcentrica,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/585fcff1-1773-41df-a29a-5b68892b81e21,Artificial Intelligence,Education,XR & Metaverse
AR[t] Studio,"AR[t] Studio presents our application BavAR[t], transforming the world into a museum beyond the walls, gamifying art and culture using a Pokémon Go-like mechanics. We are leveraging augmented reality to democratize access, engage a new audience, and enhance the value of cultural digital assets.",https://www.bavart.io/,CONCARNEAU,,,,https://vivatechnology.com/partners/art-studio,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/700d06ac-f859-42fc-8dcc-62fa729797051,Education,Gaming & esports,XR & Metaverse
AVOMO VR,"Avomo VR révolutionne la préservation du patrimoine culturel en proposant des jumeaux numériques qui garantissent sa transmission aux générations futures. Exposant à VivaTech sous la thématique ""Patrimoine"", notre technologie de réalité virtuelle offre une immersion totale, permettant aux visiteurs de vivre et de ressentir l'histoire de manière unique et captivante. En utilisant des techniques de modélisation avancées et des narrations interactives, nous créons des expériences qui non seulement éduquent mais aussi éveillent une prise de conscience sur l'importance de la conservation du patrimoine. Rejoignez Avomo VR pour explorer des sites historiques et des trésors culturels comme jamais auparavant, et découvrez comment la technologie moderne peut être au service de la mémoire collective.",https://vivatechnology.com/partners/avomovr.fr,CHÂTEAUROUX,,,,https://vivatechnology.com/partners/avomo-vr,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/bbc9ef05-b6bd-4a06-ae31-0156b4bafbf61,Artificial Intelligence,GovTech & Public Sector,Marketing & Advertising
AWIT,"We specialize in sustainable optimization through digitization and AI. We have developed our own methodology for eco-friendly analysis and development. Our goal is to improve businesses' processes sustainably for greater efficiency, reduced costs and carbon emissions, and enhanced well-being for employees at work.",https://vivatechnology.com/partners/awit-consulting.com,LIÈGE,,"TALENTS, FUNDING",,https://vivatechnology.com/partners/awit,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/0239eca6-ae08-444b-b8b6-84c0e8b1d6c61,Artificial Intelligence,Climate Tech,Growth & Investment
AWorld,"AWorld is a leading SaaS platform committed to fostering sustainability among individuals and organizations. With a foundation built on AI, gamification and data analytics, AWorld offers a unique ecosystem designed to measure, incentivize, and educate users (citizens, employees, customers, fans) about their CO2 footprint and the environmental and social impact of their lifestyle. By monitoring CO2 emissions in real time and proposing customised missions powered by AI, AWorld nudges users towards sustainable habits thanks to the Impact Engagement™ framework. The data collected enable organisations to profile, measure and improve their stakeholders' ESG knowledge and to enrich their ESG and GHG reports. Trusted by entities like the United Nations and the European Commission, AWorld has been recognized by Google as the Best App for Good in 2023. The client roster includes global corporations, cities, universities, and event organizers, demonstrating its effectiveness in driving change.",https://aworld.org/,TORINO,,,4 700 000€,https://vivatechnology.com/partners/aworld,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/cc7f3208-e3f1-475e-a956-95c17fe2692b1,Climate Tech,Education,HR & Future of Work
AXA,"As one of the global leaders in insurance and asset management, AXA has always made protection its core business. Through its three business lines — property and casualty insurance; life and health insurance; and asset management — the Group helps individuals, companies and societies to thrive. AXA has been committed to the greater good since the beginning. Whether through AXA Hearts in Action’s charity initiatives, the AXA Research Fund’s scientific support or AXA’s action against climate change, the Group has always been committed to better understanding and preventing risks. Created 39 years ago, the AXA brand positions the Group as a day-to-day partner and encourages people to confidently move forward in life.",https://vivatechnology.com/partners/axa.com,,,,,https://vivatechnology.com/partners/axa,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/49b0ecea-a13d-416b-a673-0a18da0228171,Artificial Intelligence,Climate Tech,Cybersecurity
Agilauto Partage,"Agilauto Partage, a subsidiary of the Crédit Agricole Group, offers an electric car-sharing service in rural areas, with the aim of reducing the mobility deserts in France and offering travel solutions that are adapted and accessible to every citizen. With the support of Crédit Agricole's Regional Banks, Agilauto Partage is setting up this digital mobility service (bookings made using smartphones) in communities by installing a fleet of 10 to 20 100% electric vehicles, manufactured in France, to meet each user's needs: city cars, minivans, vans, PRM vehicles (people with reduced mobility). Agilauto Partage also offers a car-sharing service for companies, enabling them to optimise and reduce the running costs of their fleets, meet environmental requirements and provide a new service for the private, paid use of a company vehicle.",https://www.agilautopartage-ca.fr/,MASSY,GROWTH & SCALE,"NONE, TALENTS, FUNDING",,https://vivatechnology.com/partners/agilauto-partage,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/d80ac7c4-266f-4393-a210-fb41a778f14c1,Mobility & Smart City,,
Aglaé,"Aglaé” is the pioneer company specialised in glowing plants. Created since 2016, this start-up is the inventor of a unique concept. It consists of a revolutionary and eco-responsible serum, which doesn’t use any DNA and is capable to make real plants... glowing in the dark ! Indeed, while the company’s activity began in the field of B to B events through plant scenographies, the technology tends to be durable with the aim of offering landscaping for cities. Our solution consists of offering a soft and living light for our everyday spaces : like roundabouts and urban signages, parks and gardens, or even roadsides without electricity… If its environmental impact aims to reduce light pollution in cities and improve their biodiversity, its social impact aims to reduce air pollution and make our spaces safer and more livable. Our particularity? To put scientific research at the service of the common good and the energies of the future. Our goal? Make the glowing plants the new green rev",https://www.design-aglae.com/,MONTREUIL,GROWTH & SCALE,,,https://vivatechnology.com/partners/aglae,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/896b5bfe-629d-45bb-b82a-d91a099dd80e1,B2B Services,DeepTech,Marketing & Advertising
Agnavi,"A Newly Started 180 mL Canned SAKE Brand in Japan - Globally distribute ICHI GO CAN, a Japanese brand of canned SAKEs (rice based alcoholic beverages) - Enable people to enjoy various SAKE breweries across Japan via ICHI GO CAN - Easier to transport due to its size, weight and material, as well as its environmental friendly nature, reducing 70% of CO2 emission.",https://agnavi.co.jp/services_sake_en.php,YOKOHAMA,GROWTH & SCALE,,,https://vivatechnology.com/partners/agnavi,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/c08ee1fd-9cf1-42e5-9e4c-e14bc4757aee1,Food & Agriculture,,
