nom,Siren
ARC DATA SHIELD,913002754
ARC EN CIEL SÉRIGRAPHIE,328947692
ARCHI REALITY,820169738
ARENAMETRIX,794062497
ARGO AUGMENTED REALITY,804465276
ARIADNEXT,520769225
ARIANE TOURNEUR,510465214
ARJO SYSTEMS,807924584
ARK ECOSYSTEM,833439300
ARKANCE SYSTEMS FRANCE,339715542
ARKEON ENERGY SYSTEMS,888214673
ARKETYP 3D,539947200
ARMELIO,523546703
ARMONIE SANTE,890009954
ARTERIAL REMODELLING TECHNOLOGIES,439917295
ARTHA FRANCE,843242918
ARTIPS,792147209
ARVERNE GEOTHERMAL,891015703
ARX CORPORATE FINANCE,798239349
ARX IT,493517577
ARXCF,798239349
ARYBALLE TECHNOLOGIES,800742405
ASCEND BEYOND SPACE,934094608
ASCLEPIOS TECH,880245188
ASCORBAT - SCAN BTP,900532250
ASK FOR THE MOON,901072389
ASK LOCALA (EX S4M),534318415
ASK MONA,827747874
ASNE ARCHITECTURE,888171410
ASSURONE GROUP,478193386
ASSURUP,811686062
ASTERION VR,821520970
ASTON ITF,525108288
ASTON ITRADE FINANCE,525108288
ASTREE SOFTWARE,538739814
ASTRÉE SOFTWARE,538739814
ATELIER DES LUMIÈRES,378955116
ATELIER MÉRIGUET-CARRÈRE,381172360
ATELIER XYZ,852504281
ATELIERS DE FRANCE (MÉRIGUET-CARRÈRE),794195818
ATEMPO.WOOXO GROUP,383923786
ATHENA RECHERCHE ET INNOVATION,823166020
ATIM RADIOCOMMUNICATIONS,410460422
ATIPIK SOLUTIONS,824610935
ATLANTIS AI,
ATMOTRACK,810418798
ATOMIC DIGITAL DESIGN,539355164
ATTESTATION LÉGALE,
AUDIENCE SQUARE,753185396
AUEG – ALLIANCE UNIVERSITÉ ENTREPRISE DE GRENOBLE,779560242
AUGMENTED CISO,899421671
AUM BIOSYNC,817509094
AURA AERO,842171316
AUTHENTIC MATERIAL,819886177
AUTOMATISMES COMMANDES NUMERIQUES SYSTEM,
AUVALIE INNOVATION,537490906
AUXO DYNAMICS,953180965
AVANT DE CLIQUER,832080055
AVENIR METAL,411468366
AVIS VERIFIÉS,
AVOB,512644105
AVOLOI,753111319
AXESS VISION TECHNOLOGY,488295759
AXILUM ROBOTICS,531573376
AXL TECHNOLOGIES,899847669
AXLR, SATT OCCITANIE MÉDITERRANÉE,753642248
AXYN ROBOTIQUE,804646347
AZFALTE,889610606
AZUR DRONES,811794601
AZZURA LIGHTS,512914276
BACK MARKET,834103111
BACK OFFICE SERVICES,930755152
BANG BANG MANAGEMENT,753488170
BANKIN',907753735
BANQUE POPULAIRE AUVERGNE RHÔNE ALPES,605520071
BARACODA DAILY HEALTHTECH,900958059
BARBABLANKA - HENRY,832463194
BASE79,793209727
BASTILLE CYCLES,840803100
BATIR GROUP,927674820
BATVOICE TECHNOLOGIES,808942213
BAYES IMPACT,813821279
BE ENERGY,921570776
BE PATIENT,529589293
BE SPOON,521277319
BE YS HEALTH SOLUTIONS FRANCE,883464356
BE YS PAY FRANCE,883799736
BE YS RESEARCH FRANCE,500933221
BE2BILL,443222682
BEACON & EGGS,831328315
BEAM ME UP,825255821
BEAR SAS,677180127
BEE WARE,451293948
BEG INGENIERIE,478342579
BEHRING WATER,488055658
BEHRING WATERS,488055658
BEINK DREAM,951949460
BELIVE.AI,847925401
BERTIN ALPAO,504089343
BETTERFLY TOURISM,533563789
BETTERISE TECHNOLOGIES,791307309
BEWARE CYBERLABS,841248354
BEYOND RATINGS,804579720
BEYOND WORDS,892818816
BFAN SPORTS,828417303
BGENE GENETICS,800455362
BH TECHNOLOGIES,419130190
BIDMOTION,808515209
BIG COMPANY,439393000
BILAN VERT,979044955
BILHI GENETICS,751860420
BILL UP,931477426
BIM&CO,810000943
BIMCHAIN,833635816
BIO LOGBOOK,842241515
BIO POOL TECH,822208237
BIODEVAS LABORATOIRES,481637726
BIOLOGICS 4 LIFE,839980307
BIOM PARIS,819184763
BIOPHYS - SOLUTIONS,523371961
BIOSUMMER 3D,823659503
BIOTECH DENTAL,795001304
BIRDS FOR CHANGE,901883520
BKB CHEMICALS,882233000
BLABLACAR,491904546
BLISS ECOSPRAY,889870283
BLOCKCHAIN PARTNER,818906646
BLOCKCHAIN.IO,908172851
BLOCS ET COMPAGNIE,828399915
BLUE - LE GRAND MÉNAGE !,888151925
BLUE BEES,878352558
BLUE FROG ROBOTICS,802107748
BLUE RIDGE LOGICIELS,812533693
BLUE VALET,810528000
BLUEKIWI SOFTWARE,491219457
BLUEMARKET,910331859
BLUESET,912529922
BLUESQUARE.IO,810390179
BNP PARIBAS,662042449
BOA CONCEPT,752025908
BOBEE SPOT,878521491
BODY CAP,537927733
BODYSENS SAS,850590886
BONNEGUEULE,790674873
BOOK VILLAGE,889215117
BOOSTRS,827963836
BORDER 6,
BOTCUP,889967451
BOUNDLESS DIGITAL,797913779
BOVLABS SAS,840501332
BRAIN DYNAMIC IMAGING,798102224
BRAND AND CELEBRITIES,529297483
BREIZH FUNDING,815264619
BRENNUS ANALYTICS,818315459
BREVO (EX-SENDINBLUE),498019298
BRIQ (ACQUIRED BY SWILE),981380678
BRIQUES TECHNIC CONCEPT,840415889
BRUT.,829162395
BRYAN THINGS,804647337
BRÂAM,510188022
BRÉZAC ARTIFICES,353208564
BS SMART MEDIA,815203062
BT PHARMA,
BTU PROTOCOL,841626526
BUBBLE IT DRINKS,884141771
BUBBLE PLAN,809543960
BUDDI FLASHCARDS,921169298
BUFFET CRAMPON,445363518
BUREAUX A PARTAGER,789597317
BUSINESS ENGLISH WITH CHRISTINA,920857299
BUSINESS FRANCE,451930051
BUSINESS FRANCE - LA FRENCH TECH,880870324
BUSINESS FRANCE AUTOMOTIVE,451930051
BUSINESS LEAD,798653820
BUSINESSFIRST,
BUTTERFLY JOB,917937898
BUTTERFLY.AI,429105877
BYPASS SOLUTIONS,889427795
C'TROP FOOD,
CAD INTEROP,514157858
CADFEM FRANCE SAS,851721845
CAELI ENERGIE,892264805
CAIRN DEVICES,822125183
CAISSE D'EPARGNE,382900942
CAISSE D’EPARGNE RHONE ALPES,384006029
CALLR,528684079
CALY TECHNOLOGIES,807542212
CANDIQUEST,900991928
CAPSIX ROBOTICS,811717965
CAPSUDEV LAB,914237813
CAPSULE CORP,883553356
CAPTAIN CONTRAT,798098430
CAPTAIN CROWD,813183977
CAPTAIN DATA,838098598
CAPTAINCYBER,839061165
CAPTÉ,900919457
CARAVEL PENSION,909583742
CARBON WATERS,833714694
CARBONE350,853442937
CARROSSE ROYAL,833337629
CARTESIAM.AI,822070876
CARTHA SYSTEMS,881927099
CASE LAW ANALYTICS,832045827
CASHLAB,807662515
CCI GRENOBLE,183830017
CDFI 3D,890330087
CEA GRENOBLE,775685019
CEDRAT TECHNOLOGIES,310416334
CELL ALTERNATIV,884881947
CELL TEREO,
CELL&CO BIOSERVICES,751930318
CELLPROTHERA SAS,504305855
CENOTELIE OPERATIONS SAS,841023674
CENTRAL SQUARE,
CENTRALE LYON,
CERAM HYD,484573761
CERBA HEALTHCARE,897725438
CERTIDEAL,813979036
CG PROJECT MANAGEMENT,818427460
CH STUDIO,901005843
CHAINTRUST.IO,842804858
CHAMBRE DE COMMERCE ET D’INDUSTRIE DE GRENOBLE,183830017
CHAMPERCHÉ,832371835
CHAMPOLLION AVOCATS,794325480
CHARGEGURU,838074870
CHECK IN GREEN,820866190
CHEERZ,533961334
CHO POWER,507787000
CHOISIR.COM,
CHU GRENOBLE ALPES,263800302
CIC LYONNAISE DE BANQUE,954507976
CIL4SYS ENGINEERING,811844935
CIMBA DIGITAL CONSTRUCTION SOLUTIONS,842952830
CIP SYSTEMS,819291972
CIRCL LABS,912699972
CIRCULAR IMPACT,884072679
CITEAZY,418406021
CITY TAPS,811732700
CIVICPOWER (CP),891785263
CLAC DES DOIGTS,810580514
CLAIREMENT WEB,885002238
CLARILOG FRANCE,538179060
CLEANPART FRANCE,444440358
CLEM',519450209
CLESSE COMPAGNIE LYONNAISE D’ÉTUDES ET DE SERVICES EN SYSTÈMES ÉLECTRONIQUES,331975516
CLEVER CLOUD,524172699
CLEVERM8,899348577
CLIC AND WALK,539839761
CLIC2BUY,948814223
CLICK AND LIVE,910319920
CLICKNCOM,791581531
CLIMPACT DATA SCIENCE,853399798
CLOCKTWEETS,
CLOUD INVEST,933614851
CLOUDSKIFF,852358159
CLOUDTDMS,909277097
CLP – CLUB LASER ET PROCÉDÉS,392862892
CLUE ME,803634823
CLUSTER LUMIÈRE,505345835
CMB MEDIA - UN-RUBAN.FR,750988990
CNEXT CONSULTING,812197721
CNRS ALPES,180089013
CNXT INDUSTRY,912244621
COACH FOR EYES,821660446
COATING PLASMA INDUSTRIE,437825474
COBBAÃ¯,
COBUY SOLUTIONS,529209983
CODA SYSTÈMES,901630145
CODING PARK,840394449
CODINGAME,750538613
CODISTAI,852738798
COFLUENT DESIGN,448116186
COGNILEARNING,519206635
COGNITIVE ENGINES,848902821
COGNIX SYSTEMS,444724462
COLDWAY TECHNOLOGIES,844929406
COLIBREE INTERGENERATION,852807544
COLIS PRIVE,391029345
COLLECTIF ÉNERGIE,893269670
COLLECTIVE.WORK,534714605
COLLOCK,815056130
COM NETWORK,480937366
COMBO (EX-SNAPSHIFT),824242877
COMM'UNE OPPORTUNITE,848529855
COMMANDERS ACT,527730782
COMMON CENTS,528702152
COMMOPRICES,921675500
COMMUNAUTÉ DE COMMUNES LE GRÉSIVAUDAN,200018166
COMMUNAUTÉ D’AGGLOMÉRATION DU PAYS VOIRONNAIS,243800984
COMPAAS,
COMPARECYCLE SAS,533616983
COMPPAIR,
COMSOL FRANCE SAS,440161958
CONEXANCE MD,489496331
CONNECTED CYCLE,799135603
CONNECTHINGS,499177582
CONNECTING FOOD,823043039
CONSEIL NATIONAL DU NUMÉRIQUE,
CONTAINOUS,818103475
CONTENTARMOR,818627580
CONVERSION BOOSTERS,833974124
COOK ANGELS,789563806
COOL & WORKERS,889476545
COOL ROOF FRANCE,981085962
COOLTECH APPLICATIONS,449679109
COOTAL,
CORLIEVE THERAPEUTICS,878872589
CORTUS SAS,484893763
COSMO TECH,523175644
COURBON SOFTWARE,584501563
CPME 38,300758943
CR MEDIA,513568519
CRAFT AI,811719715
CREATIVE INFORMATION TECHNOLOGY,421315144
CREATIVE IT,421315144
CREATIVETECH,
CREATIX 3D,793283680
CREME DE LA CREME,
CRI4DATA,839318037
CRISTAL INNOV,479696445
CROSS DATA,845209014
CRYO PUR,811286178
CRYPTONEXT SECURITY,851589770
CRYPTOR STUDIO,948984810
CRÉDIT MUTUEL,352406748
CS TECHNOLOGIES,909505588
CSN ENERGY,752991992
CUEILLETTE URBAINE,822419123
CULTURES ET COMPAGNIES,841645724
CUSTOMER MATRIX,
CUURE,849602917
CVC IT,792715765
CY MIND,891845414
CYBERIA (GROUPE BUSINESS PLUS),388055679
CYCLE UP,833056195
CYCLEUROPE INDUSTRIES,854800422
CYCLO POWER FACTORY,830246799
CYTUNEPHARMA,500998703
D'UN SEUL GESTE,837655125
D.A.T.E (DÉVELOPPEMENT ET APPLICATION DES TECHNIQUES DE L’ENERGIE),
DAILY D'INITIÉS,801467911
DANC.R,920177763
DANDELION TECHNOLOGIES,889641262
DATA DYNAMIC SYSTEMS,329324792
DATA IMPACT,913121018
DATA LEGAL DRIVE,839793791
DATA SCIENCE EXPERTS (DSE),881104699
DATA SOLUCE,911568137
DATA VIBES,831814975
DATA&CO,893620898
DATABERRIES (FORMERLY TEEMO),805138153
DATAEUM,
DATAFARM ENERGY,894037845
DATAFARM.IO,879475234
DATASEALED,952255800
DAVID VAZQUEZ,882562648
DAY BY DAY,428789051
DBV TECHNOLOGIES,441772522
DEDIENNE SANTE,339138638
DEEP ALGO,822060810
DEEPOR,821875705
DEEPSENSE,838971406
DEFACTO TECHNOLOGIES,449565241
DELAPLACE.PRO,824798094
DELIVER.EE,799305388
DELTA CONCEPT,490967569
DELTA RM,793450131
DEMAND SIDE INSTRUMENTS,794619791
DESIGNERS+,497678235
DESINFECTION TECHNOLOGIE SOLUTION,887908929
DIAGRAMS TECHNOLOGIES,852560168
DIAL ONCE,814431102
DIATLY (YUVA),487651085
DICI DESIGN PARIS,481748481
DIGIMOBEE SAS,793002908
DIGITAL EFFERVESCENCE,790394407
DIGITAL INNOVATION HUB DÜSSELDORF/RHEINLAND GMBH,
DIGITAL LEAGUE,829387380
DIGITAL PRODUCT SIMULATION,411958937
DIGITALE BOX,932676968
DIGITALRECRUITERS,534776349
DIMO MAINT,510268337
DIRECT MARKET,841203474
DIVERCHIM CDMO,832465892
DIVERSION CINEMA,822173613
DJIONI DEV,851985754
DL SOFTWARE,445053937
DM ENGINEERING,949457949
DM TECHNOLOGIES,490577384
DO YOU DREAM UP,515374221
DO'IN3D,912849668
DOCAGE,412345225
DOCEA POWER,492108626
DOCTEUR CONSO,884334079
DOCTOSPY,
DOGAMI,901205740
DOLIST,432711521
DOLPHIN SEMICONDUCTOR,932368764
DOMOSOLARIS,792399305
DOSSIER COMPLET,
DPO CONSULTING,817754138
DRACULA TECHNOLOGIES,538758236
DREAM ACT,814383832
DREAM CATCHER SALES,810456244
DROITISSIMO,513416743
DRONE HIVE,820049666
DRONE INDOOR,821284338
DRONE INTERACTIVE (INTENT),834814394
DSNA SERVICES,120064027
DSO INTERACTIVE,821693918
DSV – LE DOMAINE SKIABLE DE VALMOREL,306689225
DUBBING BROTHERS,350436028
DUOBRUSH,
DURABILIS RSE,917816332
DUST MOBILE,831238704
DYDU,515374221
DYNACURE (FLAMINGO),817666217
DYNAMIC VIEW,448661199
DYSLEXIC SCREEN,
DYVEM LOGISTICS,820028660
E 3 D - ENVIRONNEMENT DEMANTELEMENT DEPOLLUTION,494814403
E.RE.C.A INGÉNIERIE EN ÉLECTRONIQUE ET INFORMATIQUE EMBARQUÉE,383430279
E2I SOLUTIONS,952643567
E3D ENVIRONNEMENT,518539085
E4C SOLUTIONS,978616605
EARLY BIRDS,448692301
EARLY METRICS,804356525
EASII IC,389019274
EASILYS,521295162
EASILYS-RESTAURATION.COM,521295000
EASYEURO,833165863
EASYMOVIE,791945801
EASYQUORUM,821579299
EAUX SAINT AMAND,678800749
EBDS WIRELESS & ANTENNAS,792955064
ECE – ECOLE D’INGÉNIEURS,335042750
ECENTIAL ROBOTICS,518910419
ECHO STUDIO,821452711
ECLORE ACTUATORS,879182533
ECLOSING,518114780
ECM GREENTECH,531092302
ECO - TECHNILIN SAS,510634983
ECO ADAPT,934195322
ECO BATIMENT,
ECO GTB,794711895
ECOJOKO,824683155
ECOLE FUTEE,934280496
ECOSUN INNOVATIONS,814872511
ECOSYSTEM RESTORATION STANDARD,891908576
ECOVÉLO,981898034
ECRIN SYSTEMS,329844187
EDDS DESIGN,451363311
EDIXIA AUTOMATION,753630235
EDOKI ACADEMY,751962796
EDXACT,453103079
EEL ENERGY,537565111
EFFICIENTIP,411770563
EFFIMUNE SAS,494370778
EGERIE SOFTWARE,817640998
EITA CONSULTING,830056867
EIVER (SAVECODE),750829830
ELDOTRAVO,828827808
ELECTRIC VISIONARY AIRCRAFTS,832990790
ELISE TECHNOLOGIES,804764595
ELIXIR AIRCRAFT,808671234
ELIXIS CORPORATION,
ELPACK PHAREL,337679526
ELSALYS BIOTECH,792623373
ELYSE ENERGY,889749198
EMAP CONSULTING,978336139
EMBLEEMA FRANCE,840654545
EMERGENCE THERAPEUTICS FRANCE,877947333
EMOTION TECH,751371964
EMOTIVE MUSIK,510132426
EMPREINTE.COM,398478941
EMSPROTO,804438240
EMULATION AND VERIFICATION ENGINEERING,430450981
ENCHANTED TOOLS,901084368
ENDER OCEAN,889755518
ENERBEE TECHNOLOGY,909384455
ENERGIE IP,810214528
ENKEL SENSORS,908484520
ENNEA GROUPE,918015512
ENR'J SOLAIRE,883115958
ENTOMO FARM,801623158
ENTR'UP,805170032
ENYO PHARMA,799831011
ENYX,532030871
EP (ENERGIE PERSPECTIVE),499398253
EP TENDER,753074350
EPAAS.IO,521509380
EPACK HYGIENE (CHR NUMÉRIQUE),789845120
EPAWN,523964823
EPHYLA SAS,512447236
EPSOR,832966956
EQUALLY WORK,878561026
ERGOSANTE TECHNOLOGIE,790648851
ERIC BOMPARD,338375454
ERMA ENERGY,824565030
ERMEO,809717291
ERPRO 3D FACTORY,828584318
ERPRO GROUP,828400556
ESRF - ILL,338723919
ETABLISSEMENTS PENNACCHIOTTI,389042326
EURIS SAS,401469853
EURO COMMUNICATION EQUIPEMENT SAS,343872818
EUROFINS EAG,402473649
EUROS / AGENCY GROUP,879600096
EUROSTEP DIGITAL,880885918
EVA ENGINES,853028934
EVENTDRIVE,828182279
EVENTMAKER.IO,512747676
EVOK DESIGN,435003553
EVOLUTION ENERGIE,524834447
EXAQT WORLD,483340196
EXELIOM BIOSCIENCES,824343214
EXHAUSS (L'AIGLE),503048480
EXO PLATFORM,450511506
EXOTEC SOLUTIONS,812878742
EXPERT TELEPORTATION,902650431
EXPERTISE VISION,510714579
EXPLORA PROJECT,840594022
EXPLORAMA,
EXPREZIS,807570288
EXPWAY,433418787
EXTERNEED,890231491
EXYTE FRANCE,404164915
EYE4NIR,
EYES'R,843791179
EYESEE INVENTORY DRONE SOLUTIONS,905304952
EYEVENSYS,509397832
EYWA VISION,979199676
EZEE WORLD,531272029
F3DF,492238118
FAB PHARMA,513255380
FABCO (DAPPY),845350701
FABLAB ORLEANAIS,800970543
FABULOUS 3D,799529383
FACTONICS,825034689
FAIR & SMART,820924678
FAIR VISION,842328098
FAIRMONEY,
FAIRWAI,843387267
FANTASTIC OVEN,
FASHION DATA,850125261
FASTCONNECT,907819122
FAURE QEI,518597562
FEDERATION ENTERTAINMENT,500580493
FEED MANAGER,528978844
FEED.,821239878
FELIX & ASSOCIES,493465553
FENIX ENERGY,951437458
FERMEFUL,
FERMEFUL.COM,
FEST TECHNOLOGY INC.,977968890
FIBRES INDUSTRIES BOIS,415281401
FIELDBOX.AI,529981318
FIL & FAB,850963711
FILL UP MEDIA,527691679
FINANCE ACTIVE,531663326
FIND & ORDER,812982478
FINSQUARE,802545186
FIRE TIGER,852715887
FIRETIGER,852715887
FIRST LIGHT IMAGING,533716817
FLASH THERAPEUTICS,483390472
FLASH TRADE,887632248
FLASHBRAND FRANCE,832453906
FLYING WHALES,788658946
FOCUS ENTERTAINMENT (VIA FLCP & ASSOCIÉS),399856277
FOIL AND CO,822822615
FOLLOWANALYTICS,750901258
FONDATION GRENOBLE INP,529525669
FOODLES,807708300
FOREST ADMIN,833460751
FORMALIZI,881422641
FORSEE POWER,494605488
FORVIS MAZARS,377505565
FOULE FACTORY,803067305
FOURNISSEUR ÉNERGIE,
FOVEA PHARMACEUTICALS,334503919
FOXEET,
FRAMATOME SAS,379041395
FRANCE BARTER,804571818
FRANCE LABS DATAFARI,537588089
FRANCE TRAVAIL,130005481
FRECNSYS,791742547
FREEBE.ME,828625020
FREELANCEREPUBLIK,800965634
FRIGO MAGIC,811788231
FRIZBIZ,883928806
FRUITION SCIENCES,510193303
FUEL IT,821783222
FUELSEA (ANODINE),984696864
FULL ELECTRONIC SYSTEM,510193303
FULLSAVE SAS,451627848
FUTURE EDUCATION,844355008
G CLIPS BIOTECH,885068460
G WORK,881656797
G+LYTE,879295277
G2 MOBILITY,514933589
GALOCHE & PATIN,889638474
GAMAMABS PHARMA,793434788
GAMNED!,811272244
GAMPING.COM,
GAÏAGO,803443787
GEMINI ALLIANCE,933241564
GEN'ETHIC,381447812
GENEPRED BIOTECHNOLOGIES,751860420
GENERALEADS,480285642
GENIUS INNOVATION,750552283
GENOSCIENCE PHARMA,438910747
GENY MOBILE,529450363
GEOLITHE INNOV,822986030
GEOLYS BY TÉVOLYS,480057744
GEPS TECHNO,532828407
GERMICOPA SAS,830461570
GETPLUS,881213250
GETQUANTY,480405687
GINGER BURGEAP,682008222
GLAGLA INTERNATIONAL,512341801
GLIAL TECHNOLOGY,808659296
GLIMPS CYBERSECURITY,879230258
GLOBAL MAP SOLUTION,828614586
GLOBAL VISION,531460384
GLOBALSENSING TECHNOLOGIES (GST),848266730
GMAO MOBILITY WORK,820234599
GO HENRY (EX PIXPAY),
GOA SOFT,831637418
GOBIO - EUROPE TECHNOLOGIES,417784592
GOLDEN BEES,812622371
GOODSTEPS,903725216
GR3N SA,
GRAI MATTER LABS,820156271
GRAND ANNECY,200066793
GREEN CHARGEUR,883887481
GREEN DEV ACCESS,919193326
GREEN ON,339987448
GREEN PARK CONTENT,803203926
GREEN POINT SAS,
GREEN SCORE CAPITAL,877891341
GREEN SPOT TECHONOLOGIES,842237786
GREEN SYSTEMES,793167305
GREEN WEB,882060056
GREEN WHISPER,838954113
GREENMETRICS,887598605
GREENSPACE PARIS,823503933
GREENWAVES TECHNOLOGIES,808076582
GRENOBLE ALPES MÉTROPOLE,200040715
GRENOBLE ECOLE DE MANAGEMENT,817389141
GRENOBLE INP ENTREPRISE,804698025
GRENOBLE INP – UGA,193819125
GROUPE BBM / KELTEN / BM&A,
GROUPE DOLIAM,381324771
GROUPE IDAIA,348770561
GROUPE SPOREVER - MEDIA365,432067601
GRYTICS,801542713
GUARD MEDICAL,840422281
GUARDEA CYBERDEFENSE COMMUNITY,444484133
GWAPIT,
GWIIDO,
GYD TECH,922160759
GYDTECH,922160759
GÉDÉON MEDIA GROUP,413821117
H2P SYSTEMS,519115398
H2X ECOSYSTEMS,880653753
H3 DYNAMICS,827589094
H4H HUMANS4HELP,818383093
HA+PME,519215966
HAAPIE ROBOTICS,809317605
HAFFNER ENERGY,813176823
HALIAS TECHNOLOGIES,492669593
HANDI EXCELLEER,893846675
HAPPYFEED,819804261
HAPPYRENTING,815260872
HAPPYTAL,790294615
HARI & CO,808783930
HBS RESEARCH / LA PLACE DE L'IMMOBILIER,489036152
HD RAIN,839815859
HDF ENERGY,789595956
HEALTHCARDIONEXION.COM,810594648
HEASE ROBOTICS,823773932
HEATSKIN / BPSYSTEMES,
HECTOR LE COLLECTOR,884157660
HEEX TECHNOLOGIES,849073812
HELEXIA FRANCE,520397050
HELION HYDROGEN POWER,435050737
HELLIOGREEN TECHNOLOGIES,838429645
HELLO ALIX,831249891
HELLO PLANET,838921468
HELLO WATT,820585123
HELLOCSE,829190248
HELLOGLU,832486765
HELLOMYBOT.IO,829545896
HELLOPRÊT,837975473
HEWLETT PACKARD ENTERPRISE & NVIDIA,479973455
HEWLETT PACKARD ENTERPRISE (HPE),798405692
HEYAXEL.COM,
HEYTALENTS FRANCE,821322906
HIDDEN MARKET,831526934
HIFLOW,788605475
HIGH DESIGN TECHNOLOGY,390778769
HIGH SIX,890801152
HIVEBRITE,753391713
HO KARAN,811383405
HOGO BUSINESS SERVICES,822653143
HOJI VENTURES,
HOLISTICK MEDICAL,834146581
HOLOFORGE INTERACTIVE,443752795
HOLOOH,822183737
HOMA GAMES,853547644
HOME BIOSCIENCES,878721059
HOME POTAGER,820360360
HOMECAMPER.COM,811050434
HOMEEXCHANGE,327194106
HOMEPILOT,823949813
HOMEPULSE,853317626
HONESTICA,809854060
HOOTSIDE STUDIO,830980280
HOTBLOCK ONBOARD,539134304
HUAWEI TECHNOLOGIES FRANCE SASU,451063739
HUBUP,818521551
HUH SCHOOL,817410467
